,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baron,203,23,9,14,74,0.5285714285714286,0.5,0.24299629003307174,0.24299629003307174,5.103448275862069,MALE,1899
redegonda,35,9,4,5,14,0.22142857142857145,0.2642857142857143,0.09159368269084989,0.09159368269084989,2.0,FEMALE,1899
vittoria,134,11,5,6,37,0.04047619047619048,0.04285714285714286,0.1389927990363787,0.1389927990363787,1.6567164179104479,FEMALE,1899
lorenzo,67,8,4,4,23,0.0,0.0,0.0688743396556489,0.0688743396556489,1.373134328358209,MALE,1899
salaino,14,4,2,2,8,0.002380952380952381,0.04285714285714286,0.04890330174564154,0.04890330174564154,1.1428571428571428,MALE,1899
venier,48,7,4,3,18,0.05238095238095239,0.12380952380952381,0.07457284068542216,0.07457284068542216,1.125,MALE,1899
cesarino,38,6,3,3,10,0.0,0.07380952380952381,0.04283568177353183,0.04283568177353183,0.7894736842105263,MALE,1899
marfisa,26,6,3,3,6,0.026190476190476195,0.0,0.07732245333948837,0.07732245333948837,0.6923076923076923,FEMALE,1899
sassi,12,4,2,2,3,0.0,0.1142857142857143,0.03012712318040178,0.03012712318040178,0.5,MALE,1899
achilles,13,2,1,1,5,0.0,0.0,0.046617383118436405,0.046617383118436405,0.38461538461538464,MALE,1899
le_duc,24,3,2,1,6,0.0,0.0,0.045413253898114375,0.045413253898114375,0.25,MALE,1899
der_graf,5,2,1,1,1,0.0,0.0,0.018811171651402704,0.018811171651402704,0.2,MALE,1899
die_mutter,8,1,1,0,0,0.0,0.0,0.016041073784927203,0.016041073784927203,0.0,FEMALE,1899
die_corticelli,3,1,1,0,0,0.0,0.0,0.01883221821185844,0.01883221821185844,0.0,FEMALE,1899
der_abbate,13,2,2,0,0,0.0,0.0,0.022025313409898634,0.022025313409898634,0.0,MALE,1899
juwelier,3,1,1,0,0,0.0,0.0,0.016041073784927203,0.016041073784927203,0.0,MALE,1899
