,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hans_karl,425,19,9,84,10,85,0.47401960784313724,0.4466911764705882,0.2623507437208055,0.2623507437208055,2.0,MALE,1920
antoinette,97,11,5,9,6,24,0.12064950980392156,0.17095588235294118,0.042618478714077646,0.042618478714077646,1.4845360824742269,FEMALE,1920
crescence,126,9,3,22,6,29,0.1433210784313725,0.15625,0.08038133445229105,0.08038133445229105,1.380952380952381,FEMALE,1920
helene,136,7,3,33,4,34,0.06936274509803922,0.011029411764705881,0.10580446611327778,0.10580446611327778,1.0,FEMALE,1920
kammerdiener,20,5,3,6,2,10,0.009926470588235295,0.01838235294117647,0.02853025161231031,0.02853025161231031,1.0,MALE,1920
stani,171,8,3,31,5,29,0.07990196078431373,0.13970588235294118,0.09151122061849085,0.09151122061849085,0.8479532163742689,MALE,1920
der_beruehmte_mann,35,6,3,5,3,8,0.015196078431372547,0.07169117647058823,0.034914070608715056,0.034914070608715056,0.6857142857142857,MALE,1920
neuhoff,81,11,6,16,5,9,0.1102328431372549,0.33455882352941174,0.05562343219185095,0.05562343219185095,0.5555555555555556,MALE,1920
hechingen,66,6,3,14,3,10,0.01011029411764706,0.10294117647058823,0.03977603390850483,0.03977603390850483,0.4545454545454546,MALE,1920
edine,32,7,4,5,3,4,0.02058823529411765,0.25183823529411764,0.027031632763692807,0.027031632763692807,0.375,FEMALE,1920
vinzenz,24,3,2,5,1,8,0.0,0.0,0.05837399342175392,0.05837399342175392,0.3333333333333333,MALE,1920
lukas,37,4,2,12,2,3,0.058823529411764705,0.058823529411764705,0.07060514373630401,0.07060514373630401,0.16216216216216217,MALE,1920
neugebauer,19,2,1,1,1,2,0.0,0.0,0.013117282608517784,0.013117282608517784,0.10526315789473684,MALE,1920
agathe,36,2,1,6,1,3,0.0,0.0,0.026235102622448204,0.026235102622448204,0.08333333333333333,FEMALE,1920
huberta,16,3,2,4,1,1,0.005514705882352941,0.07720588235294118,0.01737784141208948,0.01737784141208948,0.0625,FEMALE,1920
altenwyl,10,1,1,2,0,0,0.0,0.0,0.01520563086430541,0.01520563086430541,0.0,MALE,1920
nanni,8,1,1,1,0,0,0.0,0.0,0.012003107498088673,0.012003107498088673,0.0,FEMALE,1920
diener,6,1,1,3,0,0,0.0,0.0,0.018540233132475818,0.018540233132475818,0.0,MALE,1920
