,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
julian,140,12.0,6.0,23.0,6.0,38.0,0.15359477124183007,0.15359477124183007,0.12716718375925898,0.12716718375925898,1.6285714285714286,MALE,1924
koenig,49,6.0,2.0,5.0,4.0,12.0,0.08333333333333334,0.08333333333333334,0.040460293259217434,0.040460293259217434,0.9795918367346939,MALE,1924
sigismund,64,8.0,4.0,20.0,4.0,14.0,0.029411764705882353,0.1650326797385621,0.11707762128595003,0.11707762128595003,0.875,MALE,1924
anton,96,8.0,4.0,28.0,4.0,21.0,0.11111111111111112,0.10457516339869281,0.13032295161311028,0.13032295161311028,0.875,MALE,1924
junger_kaemmerer,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.013666095805795319,0.013666095805795319,0.8,MALE,1924
olivier,41,6.0,3.0,7.0,3.0,10.0,0.10130718954248366,0.10130718954248366,0.11243484815072534,0.11243484815072534,0.7317073170731707,MALE,1924
pfoertner,6,4.0,2.0,2.0,2.0,2.0,0.006535947712418301,0.008169934640522876,0.02234016028829716,0.02234016028829716,0.6666666666666666,MALE,1924
baeuerin,19,3.0,1.0,7.0,2.0,5.0,0.0,0.0,0.06342402236358632,0.06342402236358632,0.5263157894736842,FEMALE,1924
arzt,97,6.0,3.0,17.0,3.0,17.0,0.0,0.011437908496732027,0.07357810319254052,0.07357810319254052,0.5257731958762886,MALE,1924
erster_hoefling,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013666095805795319,0.013666095805795319,0.5,MALE,1924
grossalmosenier,32,3.0,1.0,6.0,2.0,5.0,0.0016339869281045752,0.0,0.030861704505180592,0.030861704505180592,0.3125,MALE,1924
simon,7,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0221996713261818,0.0221996713261818,0.2857142857142857,MALE,1924
pankraz,14,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.06145417295740106,0.06145417295740106,0.21428571428571427,MALE,1924
andreas,11,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.04233894209675877,0.04233894209675877,0.18181818181818182,MALE,1924
rekrut,10,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.03278132666643762,0.03278132666643762,0.0,MALE,1924
junger_bruder,10,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.02602662429243079,0.02602662429243079,0.0,MALE,1924
bettler,5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.028407206447737695,0.028407206447737695,0.0,MALE,1924
zweiter_hoefling,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02528235520433725,0.02528235520433725,0.0,MALE,1924
ein_zweiter,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016510620979257477,0.016510620979257477,0.0,MALE,1924
