,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baronin,125,12,5,17,7,43,0.3318181818181818,0.29545454545454547,0.07305339849768643,0.07305339849768643,2.408,FEMALE,1923
jaromir,125,10,4,17,6,44,0.05176767676767677,0.030303030303030304,0.07288619988313197,0.07288619988313197,2.112,MALE,1923
der_kleine_jaromir,28,6,2,5,4,11,0.007575757575757576,0.015782828282828284,0.0308036956123866,0.0308036956123866,1.5714285714285714,MALE,1923
theodor,164,16,9,54,7,32,0.37272727272727274,0.3446969696969697,0.2601891428178343,0.2601891428178343,1.3658536585365855,MALE,1923
gaertner,5,3,1,1,2,2,0.15151515151515152,0.16477272727272727,0.02585517809934137,0.02585517809934137,0.8,MALE,1923
anna,77,10,5,28,5,11,0.05707070707070707,0.2569444444444444,0.06795538649301044,0.06795538649301044,0.7142857142857142,FEMALE,1923
melanie,106,5,2,23,3,24,0.0060606060606060615,0.0,0.09456333096966207,0.09456333096966207,0.679245283018868,FEMALE,1923
general,43,5,3,11,2,8,0.0015151515151515154,0.04419191919191919,0.032304716644008954,0.032304716644008954,0.37209302325581395,MALE,1923
marie,41,7,5,11,2,5,0.019949494949494953,0.1553030303030303,0.049826582393082644,0.049826582393082644,0.24390243902439024,FEMALE,1923
beschliesserin,5,2,1,2,1,1,0.13636363636363635,0.14962121212121213,0.015536935764672966,0.015536935764672966,0.2,FEMALE,1923
die_jungfer,6,3,2,2,1,1,0.0,0.0,0.15754827559374168,0.15754827559374168,0.16666666666666666,FEMALE,1923
hermine,31,2,1,13,1,5,0.0,0.0,0.10249613435902862,0.10249613435902862,0.16129032258064516,FEMALE,1923
kutscher,5,1,1,3,0,0,0.0,0.0,0.01698102287241214,0.01698102287241214,0.0,MALE,1923
