,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
die_kaiserin,38,10.0,4.0,6.0,12.0,0.15303030303030302,0.23636363636363636,0.1226795239769312,0.1226795239769312,1.894736842105263,FEMALE,1919
barak,65,10.0,4.0,6.0,17.0,0.2818181818181818,0.39545454545454545,0.09538724271512841,0.09538724271512841,1.5692307692307694,MALE,1919
des_falken_stimme,3,3.0,1.0,2.0,2.0,0.0,0.02121212121212121,0.029463454380189397,0.029463454380189397,1.3333333333333333,MALE,1919
die_amme,72,12.0,7.0,5.0,13.0,0.23787878787878786,0.2212121212121212,0.2903036566409203,0.2903036566409203,0.9027777777777778,FEMALE,1919
die_frau_die_faerberin,80,6.0,3.0,3.0,16.0,0.16060606060606059,0.07575757575757575,0.1768320160969094,0.1768320160969094,0.6000000000000001,FEMALE,1919
der_kaiser,9,5.0,3.0,2.0,2.0,0.0,0.02121212121212121,0.08425166467650311,0.08425166467650311,0.4444444444444444,MALE,1919
der_einaeugige,9,3.0,1.0,2.0,2.0,0.06363636363636363,0.06363636363636363,0.025542892656604182,0.025542892656604182,0.4444444444444444,MALE,1919
der_bote,15,3.0,1.0,2.0,3.0,0.04848484848484848,0.17272727272727273,0.058735984561297416,0.058735984561297416,0.4,MALE,1919
der_bucklige,2,1.0,1.0,0.0,0.0,0.0,0.0,0.03162933721154523,0.03162933721154523,0.0,MALE,1919
der_juengling,3,1.0,1.0,0.0,0.0,0.0,0.0,0.029463454380189397,0.029463454380189397,0.0,MALE,1919
fuenf_kinderstimmen,3,1.0,1.0,0.0,0.0,0.0,0.0,0.030167880047177662,0.030167880047177662,0.0,,1919
die_stimmen_der_waechter,2,1.0,1.0,0.0,0.0,0.0,0.0,0.025542892656604182,0.025542892656604182,0.0,,1919
der_einarmige,2,,,,,,,,,,MALE,1919
dienerinnen,2,,,,,,,,,,,1919
stimmen_aus_der_luft,1,,,,,,,,,,,1919
die_bettelkinder_die_fremden_kinder,2,,,,,,,,,,,1919
stimmen_aus_dem_innern_des_berges,1,,,,,,,,,,,1919
stimme_von_oben,4,,,,,,,,,,UNKNOWN,1919
dienende_geister,1,,,,,,,,,,,1919
erster,1,,,,,,,,,,UNKNOWN,1919
zweiter,1,,,,,,,,,,UNKNOWN,1919
dritter,1,,,,,,,,,,UNKNOWN,1919
unirdische_stimmen,1,,,,,,,,,,,1919
die_ungeborenen,7,,,,,,,,,,,1919
