,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
niemeyer,251,20.0,9.0,42.0,11.0,64.0,0.42196969696969705,0.3273809523809524,0.1358816091414624,0.1358816091414624,2.804780876494024,MALE,1904
lydia,60,8.0,3.0,11.0,5.0,20.0,0.035353535353535345,0.06493506493506493,0.04279712451308616,0.04279712451308616,1.6666666666666665,FEMALE,1904
landrat,108,13.0,7.0,18.0,6.0,23.0,0.1292929292929293,0.15548340548340547,0.08907195407151455,0.08907195407151455,1.2777777777777777,MALE,1904
jadwiga,65,9.0,4.0,22.0,5.0,16.0,0.1978715728715729,0.26046176046176045,0.0695982891259469,0.0695982891259469,1.2307692307692308,FEMALE,1904
sanitaetsrat,35,8.0,3.0,5.0,5.0,7.0,0.026551226551226548,0.1616161616161616,0.027965794634789137,0.027965794634789137,1.0,MALE,1904
fritz,40,6.0,3.0,6.0,3.0,13.0,0.021500721500721503,0.13708513708513712,0.03929187152156932,0.03929187152156932,0.9750000000000001,MALE,1904
hoppe,55,9.0,4.0,14.0,5.0,10.0,0.10313852813852814,0.21410533910533908,0.05920934634001383,0.05920934634001383,0.9090909090909092,MALE,1904
mollwein,31,7.0,3.0,6.0,4.0,6.0,0.011002886002886002,0.09018759018759018,0.03151399264909757,0.03151399264909757,0.7741935483870968,MALE,1904
schladebach,9,4.0,2.0,2.0,2.0,3.0,0.09740259740259741,0.10497835497835498,0.03313307269683202,0.03313307269683202,0.6666666666666666,MALE,1904
major,22,6.0,3.0,3.0,3.0,4.0,0.0021645021645021645,0.005411255411255411,0.020628111584174713,0.020628111584174713,0.5454545454545454,MALE,1904
baeckergeselle,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.018863905814099885,0.018863905814099885,0.5,MALE,1904
klausing-spartacus,28,6.0,3.0,5.0,3.0,4.0,0.15584415584415584,0.1634199134199134,0.08424477587754553,0.08424477587754553,0.42857142857142855,MALE,1904
cassius,12,3.0,1.0,1.0,2.0,2.0,0.07575757575757576,0.08008658008658008,0.017935556204239995,0.017935556204239995,0.3333333333333333,MALE,1904
olga,21,6.0,4.0,10.0,2.0,3.0,0.23376623376623376,0.23917748917748918,0.06484698048732457,0.06484698048732457,0.2857142857142857,FEMALE,1904
falk,46,3.0,1.0,3.0,2.0,6.0,0.0,0.0,0.014890140528992854,0.014890140528992854,0.2608695652173913,MALE,1904
poehlmann-catilina,16,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.04528138682186465,0.04528138682186465,0.25,MALE,1904
goldbaum,26,5.0,3.0,4.0,2.0,3.0,0.00992063492063492,0.012265512265512264,0.020864706502699053,0.020864706502699053,0.23076923076923078,MALE,1904
zedlitz,80,8.0,5.0,21.0,3.0,6.0,0.15025252525252522,0.2467532467532467,0.05971374021338975,0.05971374021338975,0.22499999999999998,MALE,1904
patzkowski,19,3.0,2.0,9.0,1.0,1.0,0.0056998556998557,0.0,0.04432468867304347,0.04432468867304347,0.05263157894736842,MALE,1904
schimke,14,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.01669479562904323,0.01669479562904323,0.0,MALE,1904
wache,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02737878102535319,0.02737878102535319,0.0,MALE,1904
tamaschke,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.019541619132856215,0.019541619132856215,0.0,MALE,1904
schutzmann,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.01632775681106078,0.01632775681106078,0.0,MALE,1904
