,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fiebig,277,23.0,10.0,13.0,108.0,0.4395604395604396,0.23626373626373628,0.255584900153616,0.255584900153616,5.068592057761733,MALE,1896
anna,10,7.0,3.0,4.0,6.0,0.00641025641025641,0.15293040293040294,0.023567064345888587,0.023567064345888587,2.4,FEMALE,1896
frau_fiebig,28,7.0,3.0,4.0,13.0,0.003663003663003663,0.0,0.03609306348566148,0.03609306348566148,1.8571428571428572,FEMALE,1896
werner,150,16.0,7.0,9.0,29.0,0.06776556776556776,0.1556776556776557,0.13172610876521068,0.13172610876521068,1.74,MALE,1896
gehrke,139,17.0,8.0,9.0,25.0,0.24267399267399273,0.38827838827838823,0.14014870882215177,0.14014870882215177,1.618705035971223,MALE,1896
meischen,51,7.0,3.0,4.0,17.0,0.0018315018315018315,0.005494505494505495,0.046319411830089224,0.046319411830089224,1.3333333333333333,FEMALE,1896
bellermann,39,8.0,4.0,4.0,6.0,0.07417582417582418,0.18589743589743588,0.07330391202176592,0.07330391202176592,0.6153846153846154,MALE,1896
schwabe,12,4.0,2.0,2.0,3.0,0.07142857142857144,0.09340659340659341,0.026343760559834513,0.026343760559834513,0.5,MALE,1896
junge,21,5.0,3.0,2.0,4.0,0.0,0.038461538461538464,0.03519508243158667,0.03519508243158667,0.38095238095238093,MALE,1896
naphtali,21,4.0,2.0,2.0,4.0,0.0,0.01098901098901099,0.019751474516570312,0.019751474516570312,0.38095238095238093,MALE,1896
hahn,94,8.0,5.0,3.0,11.0,0.008241758241758242,0.023809523809523815,0.11255771321922911,0.11255771321922911,0.35106382978723405,MALE,1896
dienstmann,5,4.0,3.0,1.0,1.0,0.0,0.07692307692307693,0.020055842745013812,0.020055842745013812,0.2,MALE,1896
amtsvorsteher,14,2.0,1.0,1.0,2.0,0.005494505494505495,0.016483516483516484,0.015728327900113307,0.015728327900113307,0.14285714285714285,MALE,1896
styczinski,21,5.0,4.0,1.0,2.0,0.0018315018315018315,0.0,0.04662670157688084,0.04662670157688084,0.09523809523809523,MALE,1896
gendarm,5,1.0,1.0,0.0,0.0,0.0,0.0,0.016997927626387625,0.016997927626387625,0.0,MALE,1896
waschfrau,1,,,,,,,,,,FEMALE,1896
