,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
karoline,180,11.0,5.0,6.0,47.0,0.19230769230769232,0.18131868131868134,0.23836368603806618,0.23836368603806618,1.5666666666666669,FEMALE,1932
kasimir,152,9.0,4.0,5.0,42.0,0.1043956043956044,0.1263736263736264,0.14242351017920876,0.14242351017920876,1.3815789473684212,MALE,1932
rauch,70,7.0,3.0,4.0,19.0,0.038461538461538464,0.038461538461538464,0.06241642197978403,0.06241642197978403,1.0857142857142856,MALE,1932
speer,39,4.0,1.0,3.0,10.0,0.0,0.0,0.034294828545430964,0.034294828545430964,0.7692307692307692,MALE,1932
der_ausrufer,8,3.0,1.0,2.0,2.0,0.005494505494505495,0.005494505494505495,0.02101653425722064,0.02101653425722064,0.5,MALE,1932
der_liliputaner,8,2.0,0.0,2.0,2.0,0.0,0.0,0.014748443579143084,0.014748443579143084,0.5,MALE,1932
der_arzt,2,1.0,0.0,1.0,1.0,0.0,0.0,0.014748443579143084,0.014748443579143084,0.5,MALE,1932
erna,66,7.0,4.0,3.0,7.0,0.0,0.0,0.1142956769193571,0.1142956769193571,0.3181818181818182,FEMALE,1932
schuerzinger,99,6.0,4.0,2.0,15.0,0.01098901098901099,0.08791208791208792,0.13951345470490645,0.13951345470490645,0.30303030303030304,MALE,1932
der_merkl_franz,60,5.0,3.0,2.0,9.0,0.0,0.049450549450549455,0.0751062428093521,0.0751062428093521,0.3,MALE,1932
elli,12,1.0,0.0,1.0,1.0,0.0,0.0,0.014748443579143084,0.014748443579143084,0.08333333333333333,FEMALE,1932
der_sanitaeter,13,3.0,2.0,1.0,1.0,0.04395604395604396,0.04395604395604396,0.04452830359515988,0.04452830359515988,0.07692307692307693,MALE,1932
maria,14,2.0,2.0,0.0,0.0,0.0,0.0,0.03016696645351992,0.03016696645351992,0.0,FEMALE,1932
juanita,4,2.0,2.0,0.0,0.0,0.0,0.0,0.029948567229321092,0.029948567229321092,0.0,FEMALE,1932
die_dicke_dame,3,1.0,1.0,0.0,0.0,0.0,0.0,0.023680476551243532,0.023680476551243532,0.0,FEMALE,1932
alles,5,,,,,,,,,,,1932
kellnerin,1,,,,,,,,,,FEMALE,1932
