,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graefin,88,8.0,3.0,5.0,32.0,0.008838383838383838,0.1691919191919192,0.029808899877315817,0.029808899877315817,1.8181818181818183,FEMALE,1802
dominique_vater,325,16.0,9.0,7.0,77.0,0.25681818181818183,0.2487373737373737,0.18213260601969855,0.18213260601969855,1.6584615384615384,MALE,1802
delomer,384,16.0,8.0,8.0,79.0,0.21919191919191922,0.1957070707070707,0.15059396723595142,0.15059396723595142,1.6458333333333333,MALE,1802
horfmann,105,8.0,3.0,5.0,28.0,0.08636363636363638,0.09722222222222221,0.05594109492069085,0.05594109492069085,1.3333333333333333,MALE,1802
madam_dominique,92,8.0,4.0,4.0,25.0,0.08333333333333334,0.17045454545454547,0.0368005500211982,0.0368005500211982,1.0869565217391304,FEMALE,1802
etliche,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01153846153846154,0.01153846153846154,1.0,,1802
dominique_sohn,279,14.0,7.0,7.0,39.0,0.13939393939393938,0.24747474747474746,0.11006128357632462,0.11006128357632462,0.9784946236559139,MALE,1802
graf,111,7.0,3.0,4.0,26.0,0.00505050505050505,0.0669191919191919,0.04359191345981187,0.04359191345981187,0.9369369369369369,MALE,1802
schulz,25,5.0,2.0,3.0,7.0,0.05808080808080808,0.0707070707070707,0.03130527871207288,0.03130527871207288,0.8400000000000001,MALE,1802
neurath,63,7.0,4.0,3.0,10.0,0.09747474747474748,0.20833333333333334,0.13793886142672454,0.13793886142672454,0.47619047619047616,MALE,1802
das_kind,24,3.0,1.0,2.0,4.0,0.0,0.16287878787878787,0.012789690461573328,0.012789690461573328,0.3333333333333333,MALE,1802
bedienter,49,4.0,3.0,1.0,6.0,0.007575757575757576,0.09090909090909091,0.12471555403921955,0.12471555403921955,0.12244897959183673,MALE,1802
marquis,93,5.0,4.0,1.0,9.0,0.0,0.0,0.07278183871095713,0.07278183871095713,0.0967741935483871,MALE,1802
die_bauern,2,,,,,,,,,,,1802
gaertner,1,,,,,,,,,,MALE,1802
