,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sekretaer,169,15.0,5.0,10.0,34.0,0.15944531658817374,0.1532967032967033,0.08316565161467246,0.08316565161467246,2.0118343195266273,MALE,1796
geheimerath,165,13.0,5.0,8.0,38.0,0.07099686028257457,0.06840659340659341,0.07387579710850009,0.07387579710850009,1.8424242424242425,MALE,1796
general,146,16.0,9.0,7.0,36.0,0.15578231292517009,0.2462454212454213,0.07467092946632953,0.07467092946632953,1.7260273972602738,MALE,1796
herr_von_wallenfeld,342,20.0,10.0,10.0,59.0,0.2671507064364208,0.15173992673992676,0.21173611928366975,0.21173611928366975,1.7251461988304093,MALE,1796
hofrath,102,11.0,4.0,7.0,25.0,0.038003663003663,0.19990842490842492,0.0628839854236331,0.0628839854236331,1.7156862745098038,MALE,1796
frau_von_wallenfeld,177,10.0,5.0,5.0,45.0,0.03248299319727892,0.016483516483516484,0.09071973787897819,0.09071973787897819,1.271186440677966,FEMALE,1796
karl,27,5.0,2.0,3.0,7.0,0.009157509157509158,0.2288461538461539,0.01967351426507695,0.01967351426507695,0.7777777777777777,MALE,1796
herr_von_posert,170,6.0,3.0,3.0,34.0,0.0,0.0,0.09389535269761154,0.09389535269761154,0.6000000000000001,MALE,1796
adjutant,50,11.0,7.0,4.0,7.0,0.0119570905285191,0.1782051282051282,0.051876977605488775,0.051876977605488775,0.56,MALE,1796
rektor,47,7.0,4.0,3.0,8.0,0.0007849293563579278,0.016483516483516484,0.0424736855508709,0.0424736855508709,0.5106382978723404,MALE,1796
lieutenant,110,11.0,6.0,5.0,10.0,0.016679748822605967,0.05998168498168499,0.09216765847253047,0.09216765847253047,0.4545454545454546,MALE,1796
jakob,53,6.0,4.0,2.0,2.0,0.006789638932496075,0.28113553113553114,0.04688409927323187,0.04688409927323187,0.07547169811320754,MALE,1796
major_stern,19,3.0,2.0,1.0,1.0,0.0,0.007326007326007328,0.02404050956105977,0.02404050956105977,0.05263157894736842,MALE,1796
kammerdiener,20,1.0,1.0,0.0,0.0,0.0,0.0,0.018047133798999342,0.018047133798999342,0.0,MALE,1796
bedienter_4-2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.013888847999347292,0.013888847999347292,0.0,MALE,1796
jean,7,,,,,,,,,,MALE,1796
haushofmeister,3,,,,,,,,,,MALE,1796
stallmeister,2,,,,,,,,,,MALE,1796
unteroffizier,3,,,,,,,,,,MALE,1796
bedienter_4-6,1,,,,,,,,,,MALE,1796
