,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
oberfoerster,373,19,10,9,99,0.15115307486631013,0.07230392156862746,0.16560332027496755,0.16560332027496755,2.388739946380697,MALE,1785
gerichtsschreiber,60,10,4,6,21,0.2671847147950089,0.3602941176470588,0.07993657123332205,0.07993657123332205,2.0999999999999996,MALE,1785
oberfoersterin,268,16,7,9,60,0.1585338680926916,0.1685049019607843,0.11497464186242039,0.11497464186242039,2.0149253731343286,FEMALE,1785
anton,142,15,8,7,35,0.1811163101604278,0.32659313725490197,0.08749676837441418,0.08749676837441418,1.7253521126760565,MALE,1785
pastor,163,12,6,6,34,0.016844919786096254,0.09007352941176468,0.07971642354599497,0.07971642354599497,1.2515337423312882,MALE,1785
kordelchen,65,6,2,4,18,0.0030581550802139036,0.07169117647058824,0.022244750618583352,0.022244750618583352,1.1076923076923078,FEMALE,1785
amtmann,112,8,4,4,29,0.0014371657754010695,0.003063725490196078,0.04510637760098271,0.04510637760098271,1.0357142857142858,MALE,1785
ein_bursche,1,1,0,1,1,0.0,0.0,0.008906726620999564,0.008906726620999564,1.0,MALE,1785
baerbel,12,4,2,2,5,0.0,0.2426470588235294,0.02294842472984259,0.02294842472984259,0.8333333333333334,FEMALE,1785
rudolph,44,7,4,3,12,0.0024509803921568627,0.020833333333333336,0.027761413429773885,0.027761413429773885,0.8181818181818181,MALE,1785
friedrike,123,10,6,4,22,0.003977272727272727,0.0,0.07748246525072533,0.07748246525072533,0.7154471544715447,FEMALE,1785
wirtin,64,9,6,3,15,0.20432263814616755,0.23529411764705882,0.07649557940234136,0.07649557940234136,0.703125,FEMALE,1785
schulz,58,9,4,5,8,0.011642156862745097,0.2058823529411764,0.03355648714749051,0.03355648714749051,0.6896551724137931,MALE,1785
matthes,64,9,4,5,7,0.17474933155080213,0.27879901960784315,0.06002430353105041,0.06002430353105041,0.546875,MALE,1785
kappe,14,4,2,2,2,0.051470588235294115,0.051470588235294115,0.04530092861110273,0.04530092861110273,0.2857142857142857,MALE,1785
die_bauern,6,1,0,1,1,0.0,0.0,0.008906726620999564,0.008906726620999564,0.16666666666666666,,1785
romann,15,3,2,1,1,0.0,0.05514705882352941,0.031395742022278225,0.031395742022278225,0.06666666666666667,MALE,1785
der_alte_bauer,8,1,1,0,0,0.0,0.0,0.012142349122710632,0.012142349122710632,0.0,MALE,1785
