,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baronesse,460,24.0,12.0,12.0,94.0,0.2643162393162394,0.21581196581196582,0.18324755519806288,0.18324755519806288,2.4521739130434783,FEMALE,1790
hyazinth,294,17.0,8.0,9.0,64.0,0.11153846153846153,0.10470085470085469,0.09284737191309453,0.09284737191309453,1.9591836734693877,MALE,1790
figaro,399,19.0,10.0,9.0,68.0,0.13536324786324783,0.08012820512820511,0.16214380514278876,0.16214380514278876,1.5338345864661653,MALE,1790
ludwig,66,9.0,4.0,5.0,20.0,0.06463675213675214,0.13141025641025642,0.1047448921629684,0.1047448921629684,1.5151515151515151,MALE,1790
leopoldine,87,11.0,5.0,6.0,18.0,0.011965811965811965,0.06944444444444445,0.04677881980879269,0.04677881980879269,1.2413793103448276,FEMALE,1790
bardenrode,146,11.0,5.0,6.0,30.0,0.008226495726495725,0.17094017094017092,0.04714448317468605,0.04714448317468605,1.2328767123287672,MALE,1790
greif,176,13.0,6.0,7.0,30.0,0.03525641025641025,0.21474358974358973,0.05755100937000228,0.05755100937000228,1.1931818181818181,MALE,1790
christoph,148,10.0,4.0,6.0,25.0,0.003418803418803419,0.10576923076923077,0.041347423799191665,0.041347423799191665,1.0135135135135136,MALE,1790
baptist,88,10.0,6.0,4.0,21.0,0.0028846153846153848,0.06944444444444443,0.04187925296265622,0.04187925296265622,0.9545454545454546,MALE,1790
willner,89,9.0,4.0,5.0,13.0,0.004487179487179487,0.0641025641025641,0.0399219914931964,0.0399219914931964,0.7303370786516854,MALE,1790
friedrich,37,6.0,3.0,3.0,6.0,0.020833333333333332,0.0876068376068376,0.06011278152301163,0.06011278152301163,0.4864864864864865,MALE,1790
jakob,53,8.0,6.0,2.0,9.0,0.016559829059829057,0.07478632478632478,0.08094237198624939,0.08094237198624939,0.33962264150943394,MALE,1790
stock,50,4.0,2.0,2.0,4.0,0.0,0.003205128205128205,0.02861854827314192,0.02861854827314192,0.16,MALE,1790
der_alte_bauer,9,1.0,1.0,0.0,0.0,0.0,0.0,0.012719693192157109,0.012719693192157109,0.0,MALE,1790
bediente,2,,,,,,,,,,,1790
bedienter,2,,,,,,,,,,MALE,1790
laufer,1,,,,,,,,,,MALE,1790
