,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
peter,172,21.0,8.0,44.0,13.0,81.0,0.3802700922266139,0.35853096179183136,0.12961700127596804,0.12961700127596804,6.122093023255814,MALE,1832
alexis,87,15.0,9.0,15.0,6.0,37.0,0.26047430830039525,0.4041501976284585,0.10453349357751586,0.10453349357751586,2.5517241379310343,MALE,1832
katharina,93,11.0,5.0,39.0,6.0,39.0,0.14489459815546774,0.12318840579710144,0.08785753057222745,0.08785753057222745,2.5161290322580645,FEMALE,1832
tolstoi,62,13.0,6.0,27.0,7.0,13.0,0.27361660079051386,0.3621541501976284,0.07264897464874363,0.07264897464874363,1.467741935483871,MALE,1832
euphrosyne,29,6.0,3.0,6.0,3.0,12.0,0.03102766798418972,0.048913043478260865,0.03823039381456285,0.03823039381456285,1.2413793103448276,FEMALE,1832
menzikof,35,7.0,3.0,12.0,4.0,8.0,0.09206192358366272,0.086133069828722,0.0380893190032854,0.0380893190032854,0.9142857142857143,MALE,1832
jaguschinsky,15,3.0,1.0,2.0,2.0,6.0,0.0,0.0,0.024324199760390665,0.024324199760390665,0.8,MALE,1832
therese,26,6.0,4.0,15.0,2.0,10.0,0.08053359683794466,0.08794466403162055,0.08003341956828226,0.08003341956828226,0.7692307692307693,FEMALE,1832
schaphirow,16,5.0,2.0,8.0,3.0,4.0,0.039262187088274045,0.036231884057971016,0.037680453691082756,0.037680453691082756,0.75,MALE,1832
mons,17,4.0,2.0,5.0,2.0,6.0,0.0,0.0133399209486166,0.017329452474468852,0.017329452474468852,0.7058823529411765,MALE,1832
erster_tuersteher,6,3.0,1.0,1.0,2.0,2.0,0.037549407114624504,0.037549407114624504,0.013059972922082257,0.013059972922082257,0.6666666666666666,MALE,1832
ostermann,7,5.0,3.0,3.0,2.0,2.0,0.008300395256916993,0.1627140974967062,0.021724155015084113,0.021724155015084113,0.5714285714285714,MALE,1832
danilow,27,6.0,3.0,10.0,3.0,5.0,0.037549407114624504,0.037549407114624504,0.038994334800560575,0.038994334800560575,0.5555555555555556,MALE,1832
schepelew,23,3.0,1.0,9.0,2.0,6.0,0.0,0.0,0.029923030398321206,0.029923030398321206,0.5217391304347826,MALE,1832
aaron,14,4.0,2.0,5.0,2.0,3.0,0.04150197628458498,0.1126482213438735,0.025648493900798833,0.025648493900798833,0.42857142857142855,MALE,1832
anna,17,2.0,1.0,8.0,1.0,6.0,0.0,0.0,0.06272685058111724,0.06272685058111724,0.35294117647058826,FEMALE,1832
andre_alle_allgemeiner_ruf,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.013059972922082257,0.013059972922082257,0.3333333333333333,,1832
costa,43,4.0,2.0,19.0,2.0,7.0,0.005764163372859025,0.003623188405797101,0.054857393899862925,0.054857393899862925,0.32558139534883723,MALE,1832
gordon,13,2.0,1.0,4.0,1.0,2.0,0.0,0.0,0.013750468532593983,0.013750468532593983,0.15384615384615385,MALE,1832
arzt,21,4.0,3.0,13.0,1.0,1.0,0.0,0.0,0.03775291358643377,0.03775291358643377,0.047619047619047616,MALE,1832
zwei_deputierte_mehrere_alle,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.02156797535122506,0.02156797535122506,0.0,,1832
theophanes,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013059972922082257,0.013059972922082257,0.0,MALE,1832
zweiter_tuersteher,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013860276798207569,0.013860276798207569,0.0,MALE,1832
sekretaer_4-5,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00966994998302021,0.00966994998302021,0.0,MALE,1832
