,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
glebof,102,18.0,7.0,11.0,34.0,0.24385521885521888,0.24797979797979797,0.08398034566752262,0.08398034566752262,3.6666666666666665,MALE,1832
peter,102,16.0,7.0,9.0,39.0,0.2069023569023569,0.29292929292929293,0.060343717713515065,0.060343717713515065,3.441176470588235,MALE,1832
dolgoruki,66,13.0,7.0,6.0,20.0,0.17373737373737375,0.25202020202020203,0.0626463643578493,0.0626463643578493,1.8181818181818183,MALE,1832
lapuchin,18,9.0,4.0,5.0,6.0,0.08106060606060606,0.1292929292929293,0.027017855170257885,0.027017855170257885,1.6666666666666665,MALE,1832
kikin,25,7.0,4.0,3.0,12.0,0.09090909090909091,0.09090909090909091,0.03890945187519043,0.03890945187519043,1.44,MALE,1832
eudoxia,45,8.0,4.0,4.0,15.0,0.034006734006734,0.09646464646464646,0.03280448719357232,0.03280448719357232,1.3333333333333333,FEMALE,1832
katharina,20,4.0,1.0,3.0,8.0,0.0053872053872053875,0.000505050505050505,0.021277321562025678,0.021277321562025678,1.2000000000000002,FEMALE,1832
alexis,81,8.0,4.0,4.0,23.0,0.06616161616161616,0.043434343434343436,0.055362375891451904,0.055362375891451904,1.1358024691358024,MALE,1832
einer_1-7b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
einer_1-7c,1,2.0,1.0,1.0,1.0,0.0,0.0,0.00933888210099691,0.00933888210099691,1.0,MALE,1832
einer_1-7d,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
einer_1-1e,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
zweiter_bauer,6,2.0,0.0,2.0,3.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
schepelew,6,4.0,2.0,2.0,3.0,0.01262626262626263,0.02070707070707071,0.013397073664021682,0.013397073664021682,1.0,MALE,1832
einer_1-1c,1,2.0,1.0,1.0,1.0,0.04242424242424243,0.04242424242424243,0.011004152736228333,0.011004152736228333,1.0,MALE,1832
einer_1-1b,1,2.0,1.0,1.0,1.0,0.0,0.0,0.011004152736228333,0.011004152736228333,1.0,MALE,1832
einer_1-1a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
ein_dritter_1-7,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,1.0,MALE,1832
der_schiffer,14,6.0,3.0,3.0,4.0,0.09797979797979799,0.09797979797979799,0.025848296550737872,0.025848296550737872,0.8571428571428571,MALE,1832
zweiter_buerger,9,5.0,3.0,2.0,3.0,0.03484848484848485,0.03484848484848485,0.05290531824889942,0.05290531824889942,0.6666666666666666,MALE,1832
die_bojaren_alle_einige_bojaren_andre,8,2.0,0.0,2.0,2.0,0.0,0.0,0.005511307227541574,0.005511307227541574,0.5,,1832
erster_buerger,11,3.0,2.0,1.0,5.0,0.0,0.0,0.04376011392563636,0.04376011392563636,0.45454545454545453,MALE,1832
euphrosyne,31,2.0,1.0,1.0,14.0,0.0,0.0,0.03211029908279888,0.03211029908279888,0.45161290322580644,FEMALE,1832
erzbischof,20,5.0,2.0,3.0,3.0,0.0,0.015151515151515152,0.02778520396491578,0.02778520396491578,0.44999999999999996,MALE,1832
menzikof,40,5.0,2.0,3.0,5.0,0.02727272727272727,0.026767676767676767,0.03091281746583044,0.03091281746583044,0.375,MALE,1832
alle_einige_andre_mehrere_die_ersten_die_zweiten,22,6.0,4.0,2.0,4.0,0.0,0.0,0.03155899178467353,0.03155899178467353,0.36363636363636365,,1832
das_volk_einige_andre,6,2.0,1.0,1.0,2.0,0.029292929292929294,0.029292929292929294,0.01486496072088891,0.01486496072088891,0.3333333333333333,,1832
der_vierte_1-1,3,2.0,1.0,1.0,1.0,0.015151515151515152,0.015151515151515152,0.018146669509037157,0.018146669509037157,0.3333333333333333,MALE,1832
fuenfter_bauer,3,1.0,0.0,1.0,1.0,0.0,0.0,0.005511307227541574,0.005511307227541574,0.3333333333333333,MALE,1832
gordon,34,3.0,2.0,1.0,10.0,0.0,0.0,0.018293784323458954,0.018293784323458954,0.29411764705882354,MALE,1832
adjutant,4,2.0,1.0,1.0,1.0,0.0,0.0,0.0134989096223897,0.0134989096223897,0.25,MALE,1832
erster_matrose,5,2.0,1.0,1.0,1.0,0.0,0.0,0.040717387739056005,0.040717387739056005,0.2,MALE,1832
steuermann,6,3.0,2.0,1.0,1.0,0.014141414141414142,0.014141414141414142,0.04142337589358323,0.04142337589358323,0.16666666666666666,MALE,1832
erster_bauer,13,3.0,2.0,1.0,2.0,0.0,0.0,0.015210473961452428,0.015210473961452428,0.15384615384615385,MALE,1832
sechster_bauer,3,1.0,1.0,0.0,0.0,0.0,0.0,0.01019595110971258,0.01019595110971258,0.0,MALE,1832
vierter_bauer,4,1.0,1.0,0.0,0.0,0.0,0.0,0.006826521390034278,0.006826521390034278,0.0,MALE,1832
der_fuenfte_1-1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.02093616828930584,0.02093616828930584,0.0,MALE,1832
einer_1-7a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007610871210100894,0.007610871210100894,0.0,MALE,1832
diener_1-4,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009710435192660214,0.009710435192660214,0.0,MALE,1832
ein_bojar_1-6,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007370273042435102,0.007370273042435102,0.0,MALE,1832
page,2,1.0,1.0,0.0,0.0,0.0,0.0,0.010766645339036277,0.010766645339036277,0.0,MALE,1832
die_bojaren_2-5,3,1.0,1.0,0.0,0.0,0.0,0.0,0.007557383524099829,0.007557383524099829,0.0,,1832
markof,5,1.0,1.0,0.0,0.0,0.0,0.0,0.016009127140338173,0.016009127140338173,0.0,MALE,1832
diener_2-2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007610871210100894,0.007610871210100894,0.0,MALE,1832
ein_bojar_1-7e,1,1.0,1.0,0.0,0.0,0.0,0.0,0.00933888210099691,0.00933888210099691,0.0,MALE,1832
ein_bojar_5-2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007853629168627075,0.007853629168627075,0.0,MALE,1832
einer_1-1d,1,,,,,,,,,,MALE,1832
ein_zweiter_1-1,1,,,,,,,,,,MALE,1832
ein_dritter_1-1,1,,,,,,,,,,MALE,1832
ein_bojar_1-5a,1,,,,,,,,,,MALE,1832
einer_1-5b,1,,,,,,,,,,MALE,1832
ein_zweiter_1-6,1,,,,,,,,,,MALE,1832
ein_dritter_1-6,1,,,,,,,,,,MALE,1832
ein_vierter_1-6,1,,,,,,,,,,MALE,1832
