,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
katharina,22,7,2,5,10,0.0,0.10909090909090909,0.03087358466020859,0.03087358466020859,2.2727272727272725,FEMALE,1832
peter,81,9,4,5,25,0.2909090909090909,0.2818181818181818,0.1171950272069475,0.1171950272069475,1.5432098765432098,MALE,1832
jaguschinsky,21,5,2,3,7,0.09545454545454544,0.09090909090909091,0.1336102148866128,0.1336102148866128,1.0,MALE,1832
ostermann,26,5,2,3,7,0.22272727272727272,0.22727272727272727,0.08050995984566837,0.08050995984566837,0.8076923076923077,MALE,1832
gordon,38,6,3,3,10,0.3090909090909091,0.3575757575757575,0.06057314343118467,0.06057314343118467,0.7894736842105263,MALE,1832
menzikof,12,4,2,2,4,0.004545454545454545,0.01818181818181818,0.074744036751558,0.074744036751558,0.6666666666666666,MALE,1832
eudoxia,34,5,3,2,6,0.12727272727272726,0.3121212121212121,0.18883746171411958,0.18883746171411958,0.35294117647058826,FEMALE,1832
volk,8,2,1,1,2,0.0,0.0,0.1500520050693968,0.1500520050693968,0.25,,1832
mons,6,3,2,1,1,0.0,0.00303030303030303,0.029513163453591063,0.029513163453591063,0.16666666666666666,MALE,1832
theophanes,8,3,2,1,1,0.004545454545454545,0.01818181818181818,0.08050995984566837,0.08050995984566837,0.125,MALE,1832
spaeher,8,2,2,0,0,0.0,0.0,0.032137406250597376,0.032137406250597376,0.0,MALE,1832
ruf,2,1,1,0,0,0.0,0.0,0.021444036884446675,0.021444036884446675,0.0,,1832
