,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
artus,58,12.0,5.0,7.0,18.0,0.31051587301587297,0.3042857142857143,0.10682355750280817,0.10682355750280817,2.1724137931034484,MALE,1832
lanzelot,25,7.0,2.0,5.0,8.0,0.05317460317460318,0.08452380952380953,0.044680338582501755,0.044680338582501755,1.6,MALE,1832
kay,14,6.0,2.0,4.0,5.0,0.1496031746031746,0.09523809523809525,0.04704020421459651,0.04704020421459651,1.4285714285714286,MALE,1832
der_seneschal,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007282988467702008,0.007282988467702008,1.0,MALE,1832
antinous,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007282988467702008,0.007282988467702008,1.0,MALE,1832
die_goetter,1,2.0,1.0,1.0,1.0,0.0380952380952381,0.0380952380952381,0.013473528722779723,0.013473528722779723,1.0,,1832
hamadryaden,1,2.0,1.0,1.0,1.0,0.07142857142857144,0.07142857142857144,0.018735488484575548,0.018735488484575548,1.0,,1832
merlin,103,11.0,6.0,5.0,18.0,0.20634920634920642,0.22619047619047622,0.15233455313346655,0.15233455313346655,0.8737864077669903,MALE,1832
gawein,14,7.0,5.0,2.0,6.0,0.10873015873015873,0.17095238095238097,0.05889477109615404,0.05889477109615404,0.8571428571428571,MALE,1832
klingsor,30,8.0,5.0,3.0,8.0,0.1797619047619048,0.14047619047619048,0.05793946553230713,0.05793946553230713,0.8,MALE,1832
niniana,52,3.0,1.0,2.0,19.0,0.0,0.0,0.07922224246356865,0.07922224246356865,0.7307692307692307,FEMALE,1832
zwerg,12,1.0,0.0,1.0,6.0,0.0,0.0,0.007282988467702008,0.007282988467702008,0.5,MALE,1832
ginevra,25,5.0,2.0,3.0,4.0,0.0005952380952380953,0.012619047619047622,0.052385708397912185,0.052385708397912185,0.48,FEMALE,1832
placidus,17,2.0,1.0,1.0,8.0,0.0,0.0,0.01447691386728867,0.01447691386728867,0.47058823529411764,MALE,1832
erek,20,6.0,3.0,3.0,3.0,0.09146825396825398,0.18333333333333335,0.03491273827142463,0.03491273827142463,0.44999999999999996,MALE,1832
parzifal,12,2.0,1.0,1.0,4.0,0.0,0.0,0.04854972569410391,0.04854972569410391,0.3333333333333333,MALE,1832
satan,23,3.0,2.0,1.0,7.0,0.0,0.0,0.04405562808887982,0.04405562808887982,0.30434782608695654,MALE,1832
lohengrin,11,2.0,1.0,1.0,2.0,0.0,0.0,0.04854972569410391,0.04854972569410391,0.18181818181818182,MALE,1832
die_ritter_ruf_der_tafelrunde,9,4.0,3.0,1.0,1.0,0.04980158730158732,0.12714285714285714,0.02276817029107563,0.02276817029107563,0.1111111111111111,,1832
gareis,9,3.0,2.0,1.0,1.0,0.014285714285714287,0.009523809523809525,0.05889223635584265,0.05889223635584265,0.1111111111111111,MALE,1832
minstrel,9,3.0,2.0,1.0,1.0,0.030952380952380953,0.030952380952380953,0.06238576194988893,0.06238576194988893,0.1111111111111111,MALE,1832
speisemeister,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012030276253615548,0.012030276253615548,0.0,MALE,1832
titurel,1,,,,,,,,,,MALE,1832
ein_ritter_a,1,,,,,,,,,,MALE,1832
ein_ritter_b,1,,,,,,,,,,MALE,1832
