,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
milliardaer,355,20.0,10.0,10.0,112.0,0.49722222222222223,0.5409722222222222,0.28409266166973635,0.28409266166973635,3.154929577464789,MALE,1917
sohn,139,14.0,6.0,8.0,43.0,0.15069444444444444,0.04444444444444444,0.13354493622934813,0.13354493622934813,2.4748201438848922,MALE,1917
der_zweite_richter,64,8.0,3.0,5.0,20.0,0.10208333333333333,0.13541666666666666,0.03492475395561319,0.03492475395561319,1.5625,MALE,1917
arzt,32,7.0,2.0,5.0,9.0,0.016666666666666666,0.1861111111111111,0.03472163315096094,0.03472163315096094,1.40625,MALE,1917
der_erste_diener,4,4.0,2.0,2.0,2.0,0.05,0.14305555555555557,0.01684491741427138,0.01684491741427138,1.0,MALE,1917
der_erste_richter,54,5.0,2.0,3.0,17.0,0.06458333333333333,0.10972222222222222,0.023750564794433937,0.023750564794433937,0.9444444444444444,MALE,1917
saengerin,24,6.0,3.0,3.0,6.0,0.005555555555555555,0.18541666666666667,0.033241587185646626,0.033241587185646626,0.75,FEMALE,1917
tochter,50,7.0,4.0,3.0,12.0,0.07430555555555556,0.11875,0.09304744994708967,0.09304744994708967,0.72,FEMALE,1917
geistlicher,24,2.0,1.0,1.0,7.0,0.0,0.0,0.033577208882096934,0.033577208882096934,0.2916666666666667,MALE,1917
sekretaer,77,4.0,1.0,3.0,7.0,0.1,0.1,0.06807342896784632,0.06807342896784632,0.2727272727272727,MALE,1917
der_herr_in_grau,85,2.0,1.0,1.0,21.0,0.0,0.0,0.07022944272320567,0.07022944272320567,0.24705882352941178,MALE,1917
waerter,7,3.0,2.0,1.0,1.0,0.0,0.11458333333333333,0.02145369897666626,0.02145369897666626,0.14285714285714285,MALE,1917
museumsdirektor,24,5.0,4.0,1.0,1.0,0.0013888888888888887,0.07916666666666666,0.04550546808806682,0.04550546808806682,0.041666666666666664,MALE,1917
das_fraeulein_in_taffet,6,1.0,1.0,0.0,0.0,0.0,0.0,0.02243936350646216,0.02243936350646216,0.0,FEMALE,1917
der_zweite_diener,3,1.0,1.0,0.0,0.0,0.0,0.0,0.021332209304805665,0.021332209304805665,0.0,MALE,1917
der_mann_in_blau,8,1.0,1.0,0.0,0.0,0.0,0.0,0.038971920351660666,0.038971920351660666,0.0,MALE,1917
kapitaen,10,2.0,2.0,0.0,0.0,0.0,0.0,0.024248754852089147,0.024248754852089147,0.0,MALE,1917
die_dame_in_schwarz,5,,,,,,,,,,FEMALE,1917
