,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
robert,255,28.0,13.0,15.0,84.0,0.4678140096618358,0.3641304347826087,0.20767586056563547,0.20767586056563547,4.9411764705882355,MALE,1847
hochmann,21,6.0,2.0,4.0,10.0,0.00573671497584541,0.07155797101449275,0.01756505458249009,0.01756505458249009,1.9047619047619047,MALE,1847
christoph,159,19.0,10.0,9.0,29.0,0.2634057971014493,0.3786231884057971,0.13580572310023797,0.13580572310023797,1.641509433962264,MALE,1847
grund,23,10.0,6.0,4.0,7.0,0.18629227053140096,0.2028985507246377,0.05753799963092508,0.05753799963092508,1.2173913043478262,MALE,1847
schlenkheim,59,7.0,3.0,4.0,17.0,0.04070048309178743,0.09420289855072464,0.08234511342165551,0.08234511342165551,1.152542372881356,MALE,1847
frau_von_brigge,25,8.0,4.0,4.0,7.0,0.1431159420289855,0.15760869565217392,0.061691992181264706,0.061691992181264706,1.12,FEMALE,1847
alle_4-8,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0070709210923505,0.0070709210923505,1.0,,1847
helfer,66,7.0,4.0,3.0,17.0,0.0068840579710144935,0.06340579710144928,0.05155537299245043,0.05155537299245043,0.7727272727272727,MALE,1847
tossmann,51,3.0,1.0,2.0,16.0,0.0,0.0,0.03228861110022334,0.03228861110022334,0.6274509803921569,MALE,1847
hager,7,4.0,2.0,2.0,2.0,0.020169082125603865,0.08333333333333333,0.01615925476570876,0.01615925476570876,0.5714285714285714,MALE,1847
elegius,27,6.0,3.0,3.0,5.0,0.0009057971014492754,0.03351449275362319,0.024684360629363685,0.024684360629363685,0.5555555555555556,MALE,1847
torf,23,5.0,2.0,3.0,4.0,0.0036231884057971015,0.041666666666666664,0.016525011304390595,0.016525011304390595,0.5217391304347826,MALE,1847
karoline,9,3.0,1.0,2.0,2.0,0.0,0.018115942028985508,0.022054129645484644,0.022054129645484644,0.4444444444444444,FEMALE,1847
henriette,15,2.0,1.0,1.0,6.0,0.0,0.0,0.019679766096286917,0.019679766096286917,0.4,FEMALE,1847
martin,26,6.0,3.0,3.0,3.0,0.020169082125603865,0.050724637681159424,0.046722352608508155,0.046722352608508155,0.34615384615384615,MALE,1847
haller,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0070709210923505,0.0070709210923505,0.3333333333333333,MALE,1847
die_bauern_mehrere_bauern_alle,14,2.0,1.0,1.0,4.0,0.03804347826086957,0.03804347826086957,0.01902020691691128,0.01902020691691128,0.2857142857142857,,1847
der_richter,5,2.0,1.0,1.0,1.0,0.036231884057971016,0.036231884057971016,0.014057780598386027,0.014057780598386027,0.2,MALE,1847
matthias,6,2.0,1.0,1.0,1.0,0.0,0.0,0.01901252257272627,0.01901252257272627,0.16666666666666666,MALE,1847
madame_flor,6,2.0,1.0,1.0,1.0,0.0,0.0,0.009172395259673236,0.009172395259673236,0.16666666666666666,FEMALE,1847
sandel,34,4.0,3.0,1.0,5.0,0.0006038647342995169,0.0036231884057971015,0.061887669157775,0.061887669157775,0.14705882352941177,MALE,1847
schnapper,10,3.0,2.0,1.0,1.0,0.0,0.0,0.03891926107939004,0.03891926107939004,0.1,MALE,1847
rohr,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009172395259673236,0.009172395259673236,0.0,MALE,1847
charles,1,1.0,1.0,0.0,0.0,0.0,0.0,0.011051454919142422,0.011051454919142422,0.0,MALE,1847
glanzberg,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011273869426995972,0.011273869426995972,0.0,MALE,1847
johann,1,,,,,,,,,,MALE,1847
alle_2-3,1,,,,,,,,,,,1847
diener,1,,,,,,,,,,MALE,1847
stuermer,4,,,,,,,,,,MALE,1847
die_offiziere,1,,,,,,,,,,,1847
gruenmann,2,,,,,,,,,,MALE,1847
jacques,1,,,,,,,,,,MALE,1847
leopold,1,,,,,,,,,,MALE,1847
