,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_geschworene_2a,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.011606241310216585,0.011606241310216585,2.0,MALE,1922
der_graf,27,7.0,3.0,8.0,4.0,12.0,0.003607503607503607,0.01948051948051948,0.049502972343988275,0.049502972343988275,1.7777777777777777,MALE,1922
der_dichter,19,5.0,2.0,3.0,3.0,10.0,0.0,0.015151515151515152,0.024614155959014842,0.024614155959014842,1.5789473684210527,MALE,1922
die_dame,39,10.0,5.0,13.0,5.0,11.0,0.030663780663780664,0.08766233766233766,0.07757992735191643,0.07757992735191643,1.4102564102564101,FEMALE,1922
der_prinz,154,18.0,10.0,39.0,8.0,27.0,0.1637806637806638,0.15584415584415584,0.22402445037073457,0.22402445037073457,1.4025974025974026,MALE,1922
die_saengerin,69,10.0,5.0,16.0,5.0,19.0,0.048701298701298704,0.04329004329004329,0.10877552632830258,0.10877552632830258,1.3768115942028984,FEMALE,1922
die_andere_dame,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011606241310216585,0.011606241310216585,1.0,FEMALE,1922
die_eine_dame,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.011606241310216585,0.011606241310216585,0.6666666666666666,FEMALE,1922
ein_geschworener_2d,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07734721901229909,0.07734721901229909,0.5,MALE,1922
der_angesprochene,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07734721901229909,0.07734721901229909,0.5,MALE,1922
der_gefaengnisdirektor,6,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.011606241310216585,0.011606241310216585,0.3333333333333333,MALE,1922
chorus_damnatorum,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011606241310216585,0.011606241310216585,0.3333333333333333,,1922
der_praesident,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011606241310216585,0.011606241310216585,0.25,MALE,1922
der_bruder,28,2.0,1.0,4.0,1.0,7.0,0.0,0.0,0.039817126615721926,0.039817126615721926,0.25,MALE,1922
der_staatsanwalt,32,4.0,2.0,6.0,2.0,4.0,0.0,0.0,0.05286474668829631,0.05286474668829631,0.25,MALE,1922
der_obmann,6,3.0,2.0,3.0,1.0,1.0,0.025974025974025976,0.025974025974025976,0.03064435512623681,0.03064435512623681,0.16666666666666666,MALE,1922
der_aufseher,9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011606241310216585,0.011606241310216585,0.1111111111111111,MALE,1922
der_verteidiger,11,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.018658962636592922,0.018658962636592922,0.09090909090909091,MALE,1922
ein_justizbeamter,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.037654200563645296,0.037654200563645296,0.0,MALE,1922
der_delinquent,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02147158363675168,0.02147158363675168,0.0,MALE,1922
der_komponist,7,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.03620326874623046,0.03620326874623046,0.0,MALE,1922
der_behaebige_herr,9,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.02571168396296926,0.02571168396296926,0.0,MALE,1922
der_junge_rechtsanwalt,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016538912473484133,0.016538912473484133,0.0,MALE,1922
