,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herr_von_albern,33,9.0,3.0,6.0,6.0,7.0,0.25,0.25,0.19945545734024814,0.19945545734024814,1.2727272727272727,MALE,1802
packan,4,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.053944098739568416,0.053944098739568416,0.5,UNKNOWN,1802
itzig,5,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.053944098739568416,0.053944098739568416,0.4,MALE,1802
krueger,8,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.07816356951141934,0.07816356951141934,0.375,MALE,1802
jaeger,13,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.07816356951141934,0.07816356951141934,0.3076923076923077,MALE,1802
buerger,4,2.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.05555555555555555,0.07816356951141934,0.07816356951141934,0.25,MALE,1802
haescher,5,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.15723564618602504,0.15723564618602504,0.0,MALE,1802
schlachter,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07816356951141934,0.07816356951141934,0.0,MALE,1802
buettel,6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.10238304028327028,0.10238304028327028,0.0,MALE,1802
fiffi,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12038338066564244,0.12038338066564244,0.0,UNKNOWN,1802
