,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
kilian,11,8.0,4.0,5.0,4.0,4.0,0.16666666666666669,0.25238095238095243,0.0939840820758561,0.0939840820758561,1.4545454545454546,MALE,1821
agathe,69,8.0,4.0,16.0,4.0,23.0,0.09761904761904763,0.08571428571428572,0.11199041909598986,0.11199041909598986,1.3333333333333333,FEMALE,1821
max,103,7.0,3.0,23.0,4.0,29.0,0.19126984126984128,0.10952380952380954,0.19251002056422417,0.19251002056422417,1.1262135922330097,MALE,1821
kaspar,86,7.0,3.0,26.0,4.0,16.0,0.2,0.18095238095238098,0.18456161092038487,0.18456161092038487,0.7441860465116279,MALE,1821
aennchen,42,5.0,3.0,13.0,2.0,11.0,0.0,0.0,0.07336907814472296,0.07336907814472296,0.5238095238095238,FEMALE,1821
die_maenner,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013496131186455818,0.013496131186455818,0.5,,1821
chor_der_hofleute,8,3.0,1.0,1.0,2.0,2.0,0.02142857142857143,0.028571428571428574,0.023300693116108613,0.023300693116108613,0.5,,1821
eremit,20,4.0,2.0,4.0,2.0,4.0,0.05714285714285715,0.14285714285714288,0.0488469822562303,0.0488469822562303,0.4,MALE,1821
samiel,10,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.03310525504576141,0.03310525504576141,0.3,MALE,1821
ottokar,14,5.0,3.0,4.0,2.0,2.0,0.09682539682539683,0.2285714285714286,0.05396364672185005,0.05396364672185005,0.2857142857142857,MALE,1821
eine_brautjungfer,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013496131186455818,0.013496131186455818,0.25,FEMALE,1821
kuno,25,5.0,3.0,3.0,2.0,3.0,0.15476190476190477,0.3190476190476191,0.06630536002860918,0.06630536002860918,0.24,MALE,1821
jaeger_bzw_chor_der_jaeger,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013496131186455818,0.013496131186455818,0.125,,1821
volk_landleute_chor_alle,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.019138809947739123,0.019138809947739123,0.0,,1821
maedchen,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03346779137952418,0.03346779137952418,0.0,,1821
brautjungfern,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02496785714363156,0.02496785714363156,0.0,,1821
