,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
prinz_pao_kaiser,75,12.0,5.0,17.0,7.0,30.0,0.1810049019607843,0.29044117647058826,0.11416314673130762,0.11416314673130762,2.8000000000000003,MALE,1925
haitang,139,21.0,10.0,55.0,11.0,32.0,0.4126225490196078,0.2990196078431373,0.24796494491990959,0.24796494491990959,2.5323741007194247,FEMALE,1925
tschu,48,9.0,3.0,6.0,6.0,19.0,0.026041666666666668,0.14644607843137256,0.03940337491568801,0.03940337491568801,2.375,MALE,1925
frau_ma,75,13.0,8.0,21.0,5.0,24.0,0.17928921568627457,0.1678921568627451,0.1606358991790763,0.1606358991790763,1.6,FEMALE,1925
tschao,49,11.0,5.0,16.0,6.0,12.0,0.08829656862745096,0.15073529411764705,0.08422477591818989,0.08422477591818989,1.4693877551020407,MALE,1925
ma,36,8.0,4.0,8.0,4.0,11.0,0.027512254901960784,0.13970588235294118,0.05362898375883206,0.05362898375883206,1.2222222222222223,MALE,1925
wirt,4,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.009624190029153528,0.009624190029153528,1.0,MALE,1925
tschang-ling,40,5.0,2.0,7.0,3.0,9.0,0.06127450980392157,0.05514705882352941,0.042322383005184414,0.042322383005184414,0.675,MALE,1925
tong,23,6.0,3.0,4.0,3.0,5.0,0.010355392156862745,0.11519607843137254,0.03740293939155184,0.03740293939155184,0.6521739130434783,MALE,1925
frau_tschang,16,5.0,3.0,5.0,2.0,3.0,0.002573529411764706,0.05330882352941176,0.036921940256469575,0.036921940256469575,0.375,FEMALE,1925
ein_polizist,3,2.0,1.0,1.0,1.0,1.0,0.0,0.001838235294117647,0.015590059075263778,0.015590059075263778,0.3333333333333333,MALE,1925
zweiter_soldat,9,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.016210889969817538,0.016210889969817538,0.3333333333333333,MALE,1925
dichter,7,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.01609323660617296,0.01609323660617296,0.2857142857142857,MALE,1925
erster_soldat,18,2.0,1.0,4.0,1.0,3.0,0.0,0.0,0.03597098979180955,0.03597098979180955,0.16666666666666666,MALE,1925
zwei_kulis,7,4.0,3.0,5.0,1.0,1.0,0.0,0.014705882352941176,0.03504129308492658,0.03504129308492658,0.14285714285714285,,1925
hebamme,18,4.0,3.0,5.0,1.0,2.0,0.0,0.0,0.02746516738342944,0.02746516738342944,0.1111111111111111,FEMALE,1925
soldaten,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013621314320657364,0.013621314320657364,0.0,,1925
dritter_soldat,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013714471662559832,0.013714471662559832,0.0,MALE,1925
