,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
amphitryon,164,20,11,53,9,74,0.5508241758241759,0.5989010989010989,0.19153045292181647,0.19153045292181647,4.060975609756098,MALE,1807
charis,64,7,3,21,4,36,0.019230769230769232,0.07875457875457877,0.07254562762977596,0.07254562762977596,2.25,FEMALE,1807
jupiter,84,7,3,27,4,39,0.1382783882783883,0.1263736263736264,0.09063472298610312,0.09063472298610312,1.8571428571428572,MALE,1807
alkmene,120,8,3,61,5,43,0.1130952380952381,0.06593406593406594,0.13342196453450492,0.13342196453450492,1.7916666666666667,FEMALE,1807
das_volk,7,6,3,3,3,4,0.019230769230769232,0.14560439560439564,0.0209103142937014,0.0209103142937014,1.7142857142857142,,1807
erster_oberster,6,4,1,2,3,3,0.011904761904761904,0.057692307692307696,0.016128005465067465,0.016128005465067465,1.5,MALE,1807
merkur,116,6,3,41,3,55,0.01053113553113553,0.04487179487179487,0.12659047739915968,0.12659047739915968,1.4224137931034484,MALE,1807
sosias,175,8,4,91,4,52,0.02564102564102564,0.004578754578754579,0.19598893010808446,0.19598893010808446,1.1885714285714286,MALE,1807
zweiter_feldherr,13,5,2,3,3,5,0.004120879120879121,0.12728937728937728,0.028063480956165458,0.028063480956165458,1.153846153846154,MALE,1807
dritter_feldherr,2,1,0,0,1,1,0.0,0.0,0.011727957169633405,0.011727957169633405,0.5,MALE,1807
zweiter_oberster,2,3,2,2,1,1,0.0,0.07875457875457877,0.018371431130702404,0.018371431130702404,0.5,MALE,1807
die_feldherren,2,2,1,1,1,1,0.0,0.0,0.01370338139734318,0.01370338139734318,0.5,,1807
erster_feldherr,25,7,5,12,2,6,0.008241758241758242,0.06227106227106227,0.04988994839933122,0.04988994839933122,0.48,MALE,1807
einer_aus_dem_volk,2,1,1,2,0,0,0.0,0.0,0.016128005465067465,0.016128005465067465,0.0,MALE,1807
die_obersten,1,1,1,1,0,0,0.0,0.0,0.014365300143543619,0.014365300143543619,0.0,,1807
