,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
adam,364,20.0,10.0,10.0,135.0,0.5111111111111112,0.47222222222222227,0.30263220924536416,0.30263220924536416,3.708791208791209,MALE,1808
walter,216,13.0,6.0,7.0,104.0,0.05925925925925927,0.005555555555555556,0.1513845237707969,0.1513845237707969,3.3703703703703702,MALE,1808
frau_marthe,72,12.0,6.0,6.0,26.0,0.06481481481481481,0.3111111111111111,0.07255476667454533,0.07255476667454533,2.1666666666666665,FEMALE,1808
ruprecht,90,13.0,6.0,7.0,25.0,0.09907407407407406,0.17222222222222222,0.1415383683783452,0.1415383683783452,1.9444444444444446,MALE,1808
licht,136,8.0,3.0,5.0,43.0,0.02962962962962963,0.05,0.10998383766542871,0.10998383766542871,1.5808823529411764,MALE,1808
eve,53,9.0,5.0,4.0,13.0,0.002777777777777778,0.03333333333333333,0.07513590455161735,0.07513590455161735,0.9811320754716981,FEMALE,1808
frau_brigitte,21,8.0,4.0,4.0,4.0,0.0,0.45,0.031486177733574316,0.031486177733574316,0.7619047619047619,FEMALE,1808
veit,17,5.0,3.0,2.0,6.0,0.0,0.016666666666666666,0.04254469121569359,0.04254469121569359,0.7058823529411765,MALE,1808
erste_magd,9,2.0,1.0,1.0,3.0,0.0,0.0,0.019352679048223513,0.019352679048223513,0.3333333333333333,FEMALE,1808
der_bediente,9,3.0,2.0,1.0,1.0,0.0,0.0,0.026143725920582755,0.026143725920582755,0.1111111111111111,MALE,1808
zweite_magd,12,3.0,2.0,1.0,1.0,0.0,0.02777777777777778,0.02724311579582819,0.02724311579582819,0.08333333333333333,FEMALE,1808
der_buettel,1,,,,,,,,,,MALE,1808
mehrere,1,,,,,,,,,,,1808
