,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sylvester,126,20.0,8.0,12.0,54.0,0.24403968253968256,0.38094444444444453,0.07428508683691805,0.07428508683691805,5.142857142857142,MALE,1803
rupert,134,19.0,7.0,12.0,57.0,0.21880555555555556,0.28777777777777785,0.06856357947064924,0.06856357947064924,5.104477611940299,MALE,1803
ottokar,227,14.0,6.0,8.0,98.0,0.1254404761904762,0.10333333333333333,0.1361986630554575,0.1361986630554575,3.4537444933920707,MALE,1803
agnes,177,13.0,6.0,7.0,62.0,0.049317460317460315,0.05772222222222222,0.0933537822092176,0.0933537822092176,2.4519774011299433,FEMALE,1803
jeronimus,125,15.0,8.0,7.0,42.0,0.14217857142857143,0.10722222222222225,0.1155247182162219,0.1155247182162219,2.3520000000000003,MALE,1803
sylvius,38,8.0,4.0,4.0,18.0,0.004365079365079364,0.04722222222222223,0.021061822442464875,0.021061822442464875,1.894736842105263,MALE,1803
gertrude,72,9.0,4.0,5.0,26.0,0.0042658730158730155,0.07700000000000001,0.037705192184150374,0.037705192184150374,1.8055555555555556,FEMALE,1803
eustache,86,11.0,6.0,5.0,28.0,0.07775793650793651,0.13672222222222224,0.05080948159101077,0.05080948159101077,1.6279069767441863,FEMALE,1803
alle_5-1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00820590020996136,0.00820590020996136,1.0,,1803
ein_diener_1-1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00820590020996136,0.00820590020996136,1.0,MALE,1803
johann,64,9.0,5.0,4.0,13.0,0.02012698412698413,0.020222222222222225,0.04037594195257384,0.04037594195257384,0.8125,MALE,1803
barnabe,50,7.0,4.0,3.0,12.0,0.042194444444444444,0.03666666666666667,0.08018001708315503,0.08018001708315503,0.72,FEMALE,1803
santing,39,5.0,3.0,2.0,9.0,0.029642857142857144,0.07722222222222222,0.0453955376123218,0.0453955376123218,0.46153846153846156,MALE,1803
ursula,16,5.0,4.0,1.0,7.0,0.003531746031746032,0.0,0.03258458255559898,0.03258458255559898,0.4375,FEMALE,1803
aldoebern,14,2.0,1.0,1.0,5.0,0.0,0.0,0.01756032580547093,0.01756032580547093,0.35714285714285715,MALE,1803
gaertner,6,2.0,1.0,1.0,2.0,0.0,0.0,0.009375203409400058,0.009375203409400058,0.3333333333333333,MALE,1803
die_kammerzofe,8,3.0,2.0,1.0,1.0,0.0,0.0,0.012313186660963349,0.012313186660963349,0.125,FEMALE,1803
kirchenvogt,20,2.0,1.0,1.0,2.0,0.0,0.0,0.04327634779268117,0.04327634779268117,0.1,MALE,1803
fintenring,13,2.0,1.0,1.0,1.0,0.0,0.0,0.012931308581321433,0.012931308581321433,0.07692307692307693,MALE,1803
theistiner,18,2.0,1.0,1.0,1.0,0.03166666666666667,0.03166666666666667,0.01756032580547093,0.01756032580547093,0.05555555555555555,MALE,1803
ein_diener_4-1,2,1.0,1.0,0.0,0.0,0.0,0.0,0.010250763856602927,0.010250763856602927,0.0,MALE,1803
zweiter_wanderer,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009228332033282143,0.009228332033282143,0.0,MALE,1803
ein_diener_3-2,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009228332033282143,0.009228332033282143,0.0,MALE,1803
ein_diener_2-3,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009375203409400058,0.009375203409400058,0.0,MALE,1803
ein_ritter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.023132405655897074,0.023132405655897074,0.0,MALE,1803
der_wanderer,5,1.0,1.0,0.0,0.0,0.0,0.0,0.013318059326565275,0.013318059326565275,0.0,MALE,1803
chor_der_maedchen,3,,,,,,,,,,,1803
chor_der_juenglinge,3,,,,,,,,,,,1803
ein_knappe,1,,,,,,,,,,MALE,1803
