,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hermann,263,40.0,17.0,96.0,23.0,105.0,0.44911804613297157,0.43260967887833557,0.164136434340742,0.164136434340742,9.182509505703422,MALE,1808
varus,65,21.0,8.0,12.0,13.0,41.0,0.15117593848937133,0.15234433891150312,0.03200442909965917,0.03200442909965917,8.2,MALE,1808
thusnelda,135,12.0,5.0,59.0,7.0,63.0,0.08604703753957485,0.08536861148801447,0.09142258766012748,0.09142258766012748,3.2666666666666666,FEMALE,1808
marbod,38,12.0,5.0,10.0,7.0,16.0,0.08389868837630032,0.10018091361374944,0.039287960521402904,0.039287960521402904,2.9473684210526314,MALE,1808
teuthold,17,8.0,4.0,6.0,4.0,11.0,0.09543193125282677,0.09203980099502487,0.027673132724073707,0.027673132724073707,2.588235294117647,MALE,1808
ein_mann,2,4.0,2.0,2.0,2.0,2.0,0.06377204884667571,0.06377204884667571,0.025858071267120388,0.025858071267120388,2.0,MALE,1808
selgar,9,5.0,2.0,6.0,3.0,6.0,0.00011307100859339665,0.00508819538670285,0.011050532375809673,0.011050532375809673,2.0,MALE,1808
der_erste_cherusker_4,7,6.0,3.0,3.0,3.0,4.0,0.08683853459972862,0.10312075983717775,0.014762437890191396,0.014762437890191396,1.7142857142857142,MALE,1808
scaepio,4,3.0,1.0,2.0,2.0,3.0,0.0,0.008819538670284939,0.006418780893103515,0.006418780893103515,1.5,MALE,1808
thuiskomar,18,6.0,3.0,6.0,3.0,9.0,0.01990049751243781,0.01990049751243781,0.012208400122297682,0.012208400122297682,1.5,MALE,1808
fust,16,6.0,2.0,2.0,4.0,6.0,0.011985526910900044,0.02057892356399819,0.010711731789239771,0.010711731789239771,1.5,MALE,1808
der_erste_vetter,3,4.0,2.0,3.0,2.0,2.0,0.08333333333333333,0.08367254635911352,0.015221840098259139,0.015221840098259139,1.3333333333333333,MALE,1808
childerich,17,5.0,3.0,7.0,2.0,11.0,0.02397105382180009,0.061284486657620985,0.03363138162198805,0.03363138162198805,1.2941176470588236,MALE,1808
dagobert,10,4.0,2.0,4.0,2.0,6.0,0.0,0.005879692446856626,0.008788818364159734,0.008788818364159734,1.2,MALE,1808
ventidius,42,9.0,5.0,13.0,4.0,12.0,0.023179556761646312,0.11031961405095735,0.01873849806202875,0.01873849806202875,1.1428571428571428,MALE,1808
ein_anderes_junges_maedchen,1,2.0,1.0,1.0,1.0,1.0,0.013342379014020805,0.013342379014020805,0.006963855213481631,0.006963855213481631,1.0,FEMALE,1808
der_zweite_cherusker_4,15,6.0,3.0,8.0,3.0,5.0,0.037991858887381276,0.024423337856173677,0.02176770282392872,0.02176770282392872,1.0,MALE,1808
ein_anderer_mann,1,2.0,1.0,1.0,1.0,1.0,0.0009045680687471732,0.0009045680687471732,0.014754479510930701,0.014754479510930701,1.0,MALE,1808
ein_dritter_mann,1,2.0,1.0,1.0,1.0,1.0,0.012663952962460425,0.012663952962460425,0.016307185319248102,0.016307185319248102,1.0,MALE,1808
einige_stimmen,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.003764254210081637,0.003764254210081637,1.0,,1808
die_mutter,1,2.0,1.0,1.0,1.0,1.0,0.026232473993668022,0.026232473993668022,0.00968360977551437,0.00968360977551437,1.0,FEMALE,1808
der_zweite_vetter,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.003764254210081637,0.003764254210081637,1.0,MALE,1808
