,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
penthesilea,222,24.0,11.0,13.0,84.0,0.1577007996180928,0.17167919799498746,0.1476978104379241,0.1476978104379241,4.918918918918919,FEMALE,1808
die_oberpriesterin,90,21.0,9.0,12.0,34.0,0.18503102995584197,0.20018796992481203,0.058620895895530135,0.058620895895530135,4.533333333333333,FEMALE,1808
achilles,115,18.0,7.0,11.0,40.0,0.14896243585153354,0.14426691729323307,0.06096884288551134,0.06096884288551134,3.8260869565217392,MALE,1808
prothoe,183,12.0,5.0,7.0,70.0,0.0476749910490512,0.03634085213032581,0.10191066762802842,0.10191066762802842,2.6775956284153004,FEMALE,1808
die_erste_priesterin_7_bis_9,12,5.0,1.0,4.0,8.0,0.0037593984962406013,0.007518796992481203,0.010715087700700392,0.010715087700700392,2.6666666666666665,FEMALE,1808
odysseus,40,7.0,3.0,4.0,19.0,0.015958795799021357,0.02036340852130326,0.013133726277724467,0.013133726277724467,1.9,MALE,1808
meroe,48,9.0,4.0,5.0,18.0,0.01785714285714286,0.017230576441102756,0.03546248995410082,0.03546248995410082,1.875,FEMALE,1808
antilochus,22,7.0,3.0,4.0,10.0,0.02034476071130206,0.022713032581453633,0.011019512486205136,0.011019512486205136,1.8181818181818181,MALE,1808
die_erste_amazone_6,6,5.0,3.0,2.0,5.0,0.05075187969924812,0.05075187969924812,0.03396973000117913,0.03396973000117913,1.6666666666666667,FEMALE,1808
diomedes,36,9.0,4.0,5.0,11.0,0.03778792218641843,0.05607769423558897,0.016312211025763888,0.016312211025763888,1.527777777777778,MALE,1808
der_hauptmann_2_bis_4,24,8.0,5.0,3.0,12.0,0.040100250626566414,0.040100250626566414,0.04071543655014046,0.04071543655014046,1.5,MALE,1808
ein_grieche_6,4,3.0,1.0,2.0,3.0,0.03571428571428571,0.03571428571428571,0.027956278598378077,0.027956278598378077,1.5,MALE,1808
die_hauptmaennin,9,5.0,2.0,3.0,4.0,0.05012531328320802,0.046365914786967416,0.020103146770779765,0.020103146770779765,1.3333333333333333,FEMALE,1808
eine_jungfrau_14b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,1.0,FEMALE,1808
eine_amazone_22a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,1.0,FEMALE,1808
die_priesterinnen_22,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,1.0,,1808
die_dritte_amazone_24,9,3.0,0.0,3.0,3.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,1.0,FEMALE,1808
eine_andere_jungfrau_14,1,2.0,1.0,1.0,1.0,0.013157894736842105,0.013157894736842105,0.008977679051794502,0.008977679051794502,1.0,FEMALE,1808
eine_traegerin,1,2.0,1.0,1.0,1.0,0.0,0.0,0.006347358263424002,0.006347358263424002,1.0,FEMALE,1808
eine_andere_fuerstin_5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,1.0,FEMALE,1808
asteria,6,3.0,1.0,2.0,2.0,0.0,0.023339598997493733,0.009336449927115497,0.009336449927115497,0.6666666666666666,FEMALE,1808
das_erste_maedchen,14,8.0,5.0,3.0,3.0,0.02929197994987468,0.14144736842105263,0.026829675380771745,0.026829675380771745,0.6428571428571428,FEMALE,1808
die_erste_oberste_20,4,1.0,0.0,1.0,2.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,0.5,FEMALE,1808
die_amazonen_19,2,2.0,1.0,1.0,1.0,0.0,0.01300125313283208,0.006347358263424002,0.006347358263424002,0.5,,1808
die_zweite_amazone_6,2,2.0,1.0,1.0,1.0,0.009085213032581453,0.009085213032581453,0.01062867897327821,0.01062867897327821,0.5,FEMALE,1808
die_dritte_amazone_6,2,2.0,1.0,1.0,1.0,0.012531328320802004,0.012531328320802004,0.013888330086339567,0.013888330086339567,0.5,FEMALE,1808
die_vierte_amazone_24,2,2.0,1.0,1.0,1.0,0.012531328320802004,0.012531328320802004,0.006227767971650337,0.006227767971650337,0.5,FEMALE,1808
eine_jungfrau_14a,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,0.5,FEMALE,1808
die_fuenfte_amazone_11,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,0.5,FEMALE,1808
eine_priesterin_20,2,2.0,1.0,1.0,1.0,0.0,0.0,0.006347358263424002,0.006347358263424002,0.5,FEMALE,1808
ein_myrmidonier,20,5.0,2.0,3.0,3.0,0.011278195488721804,0.011278195488721804,0.031180762085872053,0.031180762085872053,0.44999999999999996,MALE,1808
ein_grieche_16_und_17,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0048528124315782555,0.0048528124315782555,0.3333333333333333,MALE,1808
