,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_kurfuerst,120,21.0,8.0,13.0,68.0,0.1824372759856631,0.22741935483870965,0.08339465995408525,0.08339465995408525,7.366666666666666,MALE,1810
der_prinz_von_homburg,202,21.0,9.0,12.0,83.0,0.17383512544802868,0.14327956989247312,0.17231450237822435,0.17231450237822435,4.930693069306931,MALE,1810
kottwitz,53,12.0,4.0,8.0,22.0,0.04435483870967743,0.0771505376344086,0.0427889856852543,0.0427889856852543,3.3207547169811322,MALE,1810
hohenzollern,131,13.0,5.0,8.0,50.0,0.06209677419354839,0.08387096774193549,0.11573604151822603,0.11573604151822603,3.053435114503817,MALE,1810
die_kurfuerstin,42,10.0,4.0,6.0,13.0,0.07526881720430108,0.0978494623655914,0.03377529017132485,0.03377529017132485,1.8571428571428572,FEMALE,1810
feldmarschall_doerfling,37,10.0,5.0,5.0,13.0,0.009587813620071684,0.04112903225806452,0.02329918930236309,0.02329918930236309,1.7567567567567568,MALE,1810
natalie,98,10.0,5.0,5.0,34.0,0.04991039426523298,0.055645161290322584,0.08748317636297857,0.08748317636297857,1.7346938775510203,FEMALE,1810
mehrere_offiziere_5-7,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008027599809369745,0.008027599809369745,1.0,,1810
die_frau,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008027599809369745,0.008027599809369745,1.0,FEMALE,1810
hofkavalier_1-5b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008027599809369745,0.008027599809369745,1.0,MALE,1810
hofkavalier_1-1,5,3.0,1.0,2.0,2.0,0.0014336917562724014,0.013978494623655914,0.011962640349946447,0.011962640349946447,0.8,MALE,1810
oberst_hennings,2,2.0,1.0,1.0,1.0,0.0,0.0,0.009680816070199917,0.009680816070199917,0.5,MALE,1810
die_hofdame_3-4,2,2.0,1.0,1.0,1.0,0.0,0.0,0.010235990272899334,0.010235990272899334,0.5,FEMALE,1810
der_bauer,2,2.0,1.0,1.0,1.0,0.0,0.0,0.07441677824546881,0.07441677824546881,0.5,MALE,1810
stranz,5,2.0,1.0,1.0,2.0,0.0,0.0,0.016850966498254807,0.016850966498254807,0.4,MALE,1810
hofkavalier_2-3,3,3.0,2.0,1.0,1.0,0.001075268817204301,0.001075268817204301,0.07809334064030335,0.07809334064030335,0.3333333333333333,MALE,1810
graf_reuss,13,2.0,1.0,1.0,2.0,0.0,0.0,0.027711385102310766,0.027711385102310766,0.15384615384615385,MALE,1810
golz,27,7.0,5.0,2.0,2.0,0.002150537634408602,0.1268817204301075,0.02621418189530997,0.02621418189530997,0.14814814814814814,MALE,1810
erster_offizier,10,3.0,2.0,1.0,1.0,0.0,0.042204301075268826,0.013210162745753942,0.013210162745753942,0.1,MALE,1810
graf_truchss,15,5.0,4.0,1.0,1.0,0.026881720430107527,0.04865591397849462,0.023004349856488106,0.023004349856488106,0.06666666666666667,MALE,1810
heiduck_1-5,2,2.0,2.0,0.0,0.0,0.0,0.0,0.010593449323644552,0.010593449323644552,0.0,MALE,1810
moerner,5,1.0,1.0,0.0,0.0,0.0,0.0,0.010235990272899334,0.010235990272899334,0.0,MALE,1810
erste_hofdame,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010235990272899334,0.010235990272899334,0.0,FEMALE,1810
wachtmeister,4,1.0,1.0,0.0,0.0,0.0,0.0,0.009792273147146757,0.009792273147146757,0.0,MALE,1810
graf_sparren,6,1.0,1.0,0.0,0.0,0.0,0.0,0.015086293160477793,0.015086293160477793,0.0,MALE,1810
offizier_2-10,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009792273147146757,0.009792273147146757,0.0,MALE,1810
erster_bedienter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009070036232812887,0.009070036232812887,0.0,MALE,1810
zweiter_heiduck,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01011247265625603,0.01011247265625603,0.0,MALE,1810
offizier_5-6,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01011247265625603,0.01011247265625603,0.0,MALE,1810
hofkavalier_1-5a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009070036232812887,0.009070036232812887,0.0,MALE,1810
der_page,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011962640349946447,0.011962640349946447,0.0,MALE,1810
mehrere_offiziere_5-11,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009680816070199917,0.009680816070199917,0.0,,1810
ein_reitknecht,1,,,,,,,,,,MALE,1810
zweiter_offizier,5,,,,,,,,,,MALE,1810
dritter_offizier,3,,,,,,,,,,MALE,1810
alle_2-2,1,,,,,,,,,,,1810
die_hofdamen,2,,,,,,,,,,,1810
reuter,1,,,,,,,,,,MALE,1810
heiduck_4-2,1,,,,,,,,,,MALE,1810
laeufer,2,,,,,,,,,,MALE,1810
erster_heiduck,1,,,,,,,,,,MALE,1810
die_offiziere_5-11,1,,,,,,,,,,,1810
alle_5-11,1,,,,,,,,,,,1810
