,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
blum,84,12.0,5.0,25.0,7.0,37.0,0.24906204906204904,0.23232323232323235,0.07656640250784082,0.07656640250784082,3.083333333333333,MALE,1775
gesandtin,80,17.0,8.0,26.0,9.0,24.0,0.2868686868686869,0.3632756132756133,0.11704895693020614,0.11704895693020614,2.6999999999999997,FEMALE,1775
magister,20,7.0,3.0,8.0,4.0,9.0,0.05468975468975469,0.11471861471861472,0.025425297494181907,0.025425297494181907,1.8,MALE,1775
gesandter,53,12.0,6.0,15.0,6.0,14.0,0.0813852813852814,0.15295815295815293,0.0807843268063105,0.0807843268063105,1.5849056603773586,MALE,1775
von_brand,68,11.0,5.0,25.0,6.0,17.0,0.13246753246753248,0.16883116883116883,0.07002705519967989,0.07002705519967989,1.5,MALE,1775
franz,128,15.0,8.0,32.0,7.0,27.0,0.26774891774891774,0.27525252525252525,0.1579737300673566,0.1579737300673566,1.4765625,MALE,1775
louis,52,6.0,3.0,16.0,3.0,23.0,0.0924963924963925,0.08225108225108226,0.05313396813295612,0.05313396813295612,1.3269230769230769,MALE,1775
suschen,23,5.0,2.0,4.0,3.0,10.0,0.023448773448773445,0.04689754689754691,0.02335130291151828,0.02335130291151828,1.3043478260869565,FEMALE,1775
louise,23,5.0,2.0,8.0,3.0,9.0,0.002525252525252525,0.031385281385281384,0.041339848747902,0.041339848747902,1.173913043478261,FEMALE,1775
sophchen,6,5.0,3.0,3.0,2.0,3.0,0.09141414141414142,0.1461038961038961,0.0196258662756687,0.0196258662756687,1.0,FEMALE,1775
geheimderat,25,7.0,3.0,6.0,4.0,6.0,0.0030303030303030294,0.046176046176046176,0.032520443665330065,0.032520443665330065,0.96,MALE,1775
fraenzchen,18,6.0,4.0,6.0,2.0,6.0,0.04329004329004329,0.04329004329004329,0.04185986606765747,0.04185986606765747,0.6666666666666666,MALE,1775
betchen,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007417041047428361,0.007417041047428361,0.5,FEMALE,1775
doktor,9,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.012390093550042225,0.012390093550042225,0.4444444444444444,MALE,1775
zweiter_schoener_geist,9,3.0,1.0,1.0,2.0,2.0,0.005411255411255411,0.006493506493506494,0.02646473621888162,0.02646473621888162,0.4444444444444444,MALE,1775
laeufer,38,5.0,3.0,14.0,2.0,7.0,0.04603174603174603,0.012626262626262628,0.04583524444174575,0.04583524444174575,0.3684210526315789,MALE,1775
malchen,9,3.0,2.0,4.0,1.0,3.0,0.0,0.00974025974025974,0.023757668860771294,0.023757668860771294,0.3333333333333333,FEMALE,1775
unbekannter,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009175953581037911,0.009175953581037911,0.3333333333333333,MALE,1775
julie,38,2.0,1.0,10.0,1.0,10.0,0.0,0.0,0.057147566073567,0.057147566073567,0.2631578947368421,FEMALE,1775
gorg,6,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01232184241885554,0.01232184241885554,0.16666666666666666,MALE,1775
hofmeister,13,2.0,1.0,6.0,1.0,2.0,0.0,0.0,0.01919945874756625,0.01919945874756625,0.15384615384615385,MALE,1775
erster_schoener_geist,15,4.0,3.0,3.0,1.0,1.0,0.046536796536796536,0.047619047619047616,0.022408177756525254,0.022408177756525254,0.06666666666666667,MALE,1775
lieschen,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.024225152496970027,0.024225152496970027,0.0,FEMALE,1775
