,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
solina,159,13.0,5.0,8.0,44.0,0.3055555555555556,0.3208333333333333,0.16762557070596923,0.16762557070596923,2.2138364779874213,FEMALE,1776
galbino,116,10.0,4.0,6.0,32.0,0.22916666666666666,0.34375,0.09988851630080242,0.09988851630080242,1.6551724137931034,MALE,1776
laura,26,6.0,3.0,3.0,12.0,0.0020833333333333333,0.06458333333333333,0.05146962468589717,0.05146962468589717,1.3846153846153846,FEMALE,1776
julio,182,11.0,5.0,6.0,40.0,0.29444444444444445,0.2791666666666667,0.2122826474689012,0.2122826474689012,1.3186813186813187,MALE,1776
paulo,51,5.0,2.0,3.0,22.0,0.0,0.0,0.03692299282374855,0.03692299282374855,1.2941176470588236,MALE,1776
drullo,93,8.0,4.0,4.0,26.0,0.1173611111111111,0.1875,0.09155856321858391,0.09155856321858391,1.118279569892473,MALE,1776
herzogin,31,6.0,3.0,3.0,4.0,0.14027777777777778,0.31875,0.03925759060277665,0.03925759060277665,0.3870967741935484,FEMALE,1776
ludovico,54,6.0,3.0,3.0,6.0,0.12777777777777777,0.36666666666666664,0.08113351121697494,0.08113351121697494,0.3333333333333333,MALE,1776
carlo,15,3.0,2.0,1.0,4.0,0.0,0.0,0.030657337046633933,0.030657337046633933,0.26666666666666666,MALE,1776
pasquino,21,2.0,1.0,1.0,4.0,0.0,0.0,0.02041233011405475,0.02041233011405475,0.19047619047619047,MALE,1776
rosaura,7,2.0,1.0,1.0,1.0,0.0,0.0,0.022166975202876534,0.022166975202876534,0.14285714285714285,FEMALE,1776
amante,39,5.0,3.0,2.0,2.0,0.0,0.11666666666666667,0.0532490146591369,0.0532490146591369,0.10256410256410256,MALE,1776
rosaline,16,2.0,1.0,1.0,1.0,0.0,0.0,0.020794923207138,0.020794923207138,0.0625,FEMALE,1776
bedienter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015105821657411079,0.015105821657411079,0.0,MALE,1776
galanteriekraemerin,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01892883927828077,0.01892883927828077,0.0,FEMALE,1776
pirro,10,2.0,2.0,0.0,0.0,0.0,0.0,0.023439920153402898,0.023439920153402898,0.0,MALE,1776
kammerdiener,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015105821657411079,0.015105821657411079,0.0,MALE,1776
stallmeister,2,,,,,,,,,,MALE,1776
abgeordneter,2,,,,,,,,,,MALE,1776
