,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
grisaldo,150,19.0,7.0,12.0,40.0,0.3274665421724245,0.1503267973856209,0.10376342187173261,0.10376342187173261,3.2,MALE,1776
prinz_zifaldo,46,12.0,4.0,8.0,16.0,0.10006224712107065,0.3572984749455338,0.02464340410403169,0.02464340410403169,2.782608695652174,MALE,1776
lilla,75,8.0,3.0,5.0,24.0,0.04681761593526299,0.058823529411764705,0.04686209473125284,0.04686209473125284,1.6,FEMALE,1776
bastiano,152,12.0,7.0,5.0,36.0,0.15508092125739184,0.22331154684095864,0.14121220645605326,0.14121220645605326,1.1842105263157894,MALE,1776
sarazenenkoenig,26,4.0,2.0,2.0,10.0,0.002559912854030501,0.0,0.016472714104809008,0.016472714104809008,0.7692307692307693,MALE,1776
koenig,41,9.0,4.0,5.0,6.0,0.07240118269530034,0.3001089324618737,0.03945525458636771,0.03945525458636771,0.7317073170731707,MALE,1776
almerine,39,6.0,3.0,3.0,9.0,0.06577186430127606,0.0784313725490196,0.056840389021253976,0.056840389021253976,0.6923076923076923,FEMALE,1776
curio,120,10.0,7.0,3.0,27.0,0.027178649237472766,0.05555555555555556,0.11119880537223036,0.11119880537223036,0.675,MALE,1776
malvizino,48,7.0,3.0,4.0,8.0,0.09407096171802054,0.10457516339869281,0.030496901981180498,0.030496901981180498,0.6666666666666666,MALE,1776
isabella,23,5.0,2.0,3.0,5.0,0.046840958605664486,0.09477124183006536,0.030185036717046983,0.030185036717046983,0.6521739130434783,FEMALE,1776
kastilier,17,5.0,2.0,3.0,3.0,0.0,0.01252723311546841,0.017122749861162162,0.017122749861162162,0.5294117647058824,,1776
truffaldino,62,10.0,6.0,4.0,7.0,0.11509492685963273,0.2772331154684096,0.07144211525557449,0.07144211525557449,0.45161290322580644,MALE,1776
infantin,58,5.0,3.0,2.0,12.0,0.0064581388110799874,0.0,0.03999499951820447,0.03999499951820447,0.41379310344827586,FEMALE,1776
saluzzo,6,3.0,2.0,1.0,1.0,0.049019607843137254,0.049019607843137254,0.0914490381304967,0.0914490381304967,0.16666666666666666,MALE,1776
erster_aragonier,6,2.0,1.0,1.0,1.0,0.0,0.0,0.08676506226274473,0.08676506226274473,0.16666666666666666,MALE,1776
don_fernando,13,2.0,1.0,1.0,1.0,0.0,0.0,0.02236783084021908,0.02236783084021908,0.07692307692307693,MALE,1776
ballona,45,5.0,4.0,1.0,3.0,0.008823529411764707,0.011982570806100218,0.04432954000149829,0.04432954000149829,0.06666666666666667,MALE,1776
ein_mann_5-1a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014162465266307798,0.014162465266307798,0.0,MALE,1776
einer_von_den_maennern_5-1b,1,1.0,1.0,0.0,0.0,0.0,0.0,0.011235969917833162,0.011235969917833162,0.0,MALE,1776
ein_mann_5-1c,1,,,,,,,,,,MALE,1776
