,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
berkley,111,13,5,8,36,0.13451178451178453,0.27146464646464646,0.08450957975388756,0.08450957975388756,2.5945945945945947,MALE,1777
wild,145,15,7,8,40,0.21363636363636362,0.15404040404040403,0.19859977581587193,0.19859977581587193,2.206896551724138,MALE,1777
kapitaen,92,14,7,7,29,0.08737373737373737,0.21969696969696967,0.10181758271481546,0.10181758271481546,2.206521739130435,MALE,1777
caroline,104,13,6,7,30,0.155513468013468,0.16414141414141414,0.11927448898471647,0.11927448898471647,2.019230769230769,FEMALE,1777
la_feu,76,13,7,6,18,0.04587542087542087,0.12121212121212122,0.11827822910848725,0.11827822910848725,1.4210526315789473,MALE,1777
lord_bushy,20,8,4,4,7,0.0101010101010101,0.2891414141414142,0.033699149056649294,0.033699149056649294,1.4,MALE,1777
louise,63,8,4,4,14,0.023611111111111107,0.022727272727272728,0.07239285645957887,0.07239285645957887,0.8888888888888888,FEMALE,1777
blasius,66,8,4,4,11,0.01494107744107744,0.0,0.0913344012271836,0.0913344012271836,0.6666666666666666,MALE,1777
kathrin,59,8,5,3,12,0.02382154882154882,0.0744949494949495,0.07068288621451631,0.07068288621451631,0.6101694915254238,FEMALE,1777
mohr,36,6,3,3,5,0.002735690235690236,0.016414141414141412,0.05041774186862732,0.05041774186862732,0.4166666666666667,MALE,1777
der_wirt,5,2,1,1,2,0.0,0.0,0.022373241433377503,0.022373241433377503,0.4,MALE,1777
betty,6,1,1,0,0,0.0,0.0,0.020691848351656335,0.020691848351656335,0.0,FEMALE,1777
bediente,2,1,1,0,0,0.0,0.0,0.01592821901063219,0.01592821901063219,0.0,FEMALE,1777
