,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
brenno,160,25.0,9.0,16.0,62.0,0.24180035650623885,0.20944741532976827,0.1496985624694797,0.1496985624694797,6.2,MALE,1769
hermann,108,22.0,7.0,15.0,35.0,0.2235888294711824,0.25534759358288767,0.08958869751086443,0.08958869751086443,4.861111111111111,MALE,1769
der_knabe_werdomars_sohn,33,9.0,3.0,6.0,20.0,0.022103386809269158,0.031194295900178252,0.0222618182882296,0.0222618182882296,3.6363636363636367,MALE,1769
siegmar,102,11.0,3.0,8.0,35.0,0.0705585264408794,0.0659536541889483,0.08881805687608339,0.08881805687608339,2.7450980392156863,MALE,1769
thusnelda,53,9.0,4.0,5.0,15.0,0.04248366013071895,0.0427807486631016,0.046810789427310096,0.046810789427310096,1.4150943396226414,FEMALE,1769
ein_druide_2a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.010963229905808204,0.010963229905808204,1.0,MALE,1769
valerius,16,4.0,2.0,2.0,4.0,0.028520499108734398,0.0285204991087344,0.04028704297011056,0.04028704297011056,0.5,MALE,1769
der_marse,13,4.0,2.0,2.0,3.0,0.00338680926916221,0.015597147950089126,0.018066608534314875,0.018066608534314875,0.46153846153846156,MALE,1769
segest,17,2.0,1.0,1.0,6.0,0.0,0.0,0.02738244798415352,0.02738244798415352,0.35294117647058826,MALE,1769
werdomar,29,8.0,5.0,3.0,3.0,0.011348781937017232,0.14349376114081996,0.02678397426031445,0.02678397426031445,0.3103448275862069,MALE,1769
bercennis,13,2.0,1.0,1.0,4.0,0.0,0.0,0.01531471177026988,0.01531471177026988,0.3076923076923077,FEMALE,1769
ein_hauptmann_11,4,2.0,1.0,1.0,1.0,0.0,0.0,0.017490452702500717,0.017490452702500717,0.25,MALE,1769
licinius,4,3.0,2.0,1.0,1.0,0.0,0.012477718360071301,0.021700015833598263,0.021700015833598263,0.25,MALE,1769
der_gefangne-flavius,17,3.0,2.0,1.0,3.0,0.0,0.0,0.039075985578380545,0.039075985578380545,0.17647058823529413,MALE,1769
erster_opferknabe,7,2.0,1.0,1.0,1.0,0.0142602495543672,0.0142602495543672,0.017490452702500717,0.017490452702500717,0.14285714285714285,MALE,1769
siegmund,14,2.0,1.0,1.0,2.0,0.0,0.0,0.017120436685187698,0.017120436685187698,0.14285714285714285,MALE,1769
horst,45,3.0,2.0,1.0,4.0,0.005941770647653,0.0392156862745098,0.0498037870797066,0.0498037870797066,0.08888888888888889,MALE,1769
die_barden,81,5.0,3.0,2.0,2.0,0.00089126559714795,0.0142602495543672,0.026386785807614447,0.026386785807614447,0.04938271604938271,,1769
ein_barde_4,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013015632165601369,0.013015632165601369,0.0,MALE,1769
ein_hauptmann_7,5,1.0,1.0,0.0,0.0,0.0,0.0,0.015276737698945563,0.015276737698945563,0.0,MALE,1769
ein_barde_2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.015068034425394533,0.015068034425394533,0.0,MALE,1769
ein_barde_11,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01313897083803904,0.01313897083803904,0.0,MALE,1769
ein_chor_jungfrauen,4,1.0,1.0,0.0,0.0,0.0,0.0,0.013615815666292722,0.013615815666292722,0.0,,1769
der_hauptmann_2,3,1.0,1.0,0.0,0.0,0.0,0.0,0.01743349159551424,0.01743349159551424,0.0,MALE,1769
ein_hauptmann_2_und_3,3,1.0,1.0,0.0,0.0,0.0,0.0,0.013119983802376882,0.013119983802376882,0.0,MALE,1769
der_bructerer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01313897083803904,0.01313897083803904,0.0,MALE,1769
der_cherusker,10,2.0,2.0,0.0,0.0,0.0,0.0,0.020433458746351482,0.020433458746351482,0.0,MALE,1769
ein_andrer_kriegsgefaehrte,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01313897083803904,0.01313897083803904,0.0,MALE,1769
ein_kriegsgefaehrte,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01313897083803904,0.01313897083803904,0.0,MALE,1769
