,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
zriny,103,16.0,6.0,20.0,10.0,30.0,0.22058823529411764,0.24693627450980388,0.1756523001730542,0.1756523001730542,2.9126213592233006,MALE,1812
soliman,67,8.0,2.0,7.0,6.0,29.0,0.14338235294117643,0.06985294117647059,0.0691679703789378,0.0691679703789378,2.5970149253731343,MALE,1812
eva,61,10.0,5.0,17.0,5.0,22.0,0.1452205882352941,0.12071078431372548,0.1308383687938386,0.1308383687938386,1.8032786885245902,FEMALE,1812
helene,64,7.0,3.0,15.0,4.0,19.0,0.012867647058823529,0.008578431372549019,0.08620915494737319,0.08620915494737319,1.1875,FEMALE,1812
mehmed,51,8.0,3.0,18.0,5.0,10.0,0.11397058823529412,0.11029411764705882,0.07048065074246178,0.07048065074246178,0.9803921568627451,MALE,1812
juranitsch,47,5.0,2.0,11.0,3.0,11.0,0.001838235294117647,0.022058823529411763,0.060243299805482445,0.060243299805482445,0.7021276595744681,MALE,1812
ali,20,5.0,2.0,4.0,3.0,4.0,0.014705882352941176,0.029411764705882353,0.025412887213327434,0.025412887213327434,0.6000000000000001,MALE,1812
scherenk,15,5.0,3.0,6.0,2.0,2.0,0.0,0.029411764705882353,0.042236666058701244,0.042236666058701244,0.26666666666666666,MALE,1812
alapi,20,5.0,3.0,7.0,2.0,2.0,0.058823529411764705,0.17401960784313728,0.08924088930305936,0.08924088930305936,0.2,MALE,1812
levi,15,3.0,2.0,8.0,1.0,3.0,0.0,0.0,0.03748614738993779,0.03748614738993779,0.2,MALE,1812
der_begler_beg,8,2.0,1.0,1.0,1.0,1.0,0.0,0.03125,0.01873999141231609,0.01873999141231609,0.125,MALE,1812
paprutowitsch,11,3.0,2.0,3.0,1.0,1.0,0.0,0.034926470588235295,0.02834818934790434,0.02834818934790434,0.09090909090909091,MALE,1812
vilacky,23,5.0,4.0,11.0,1.0,2.0,0.042279411764705885,0.12071078431372549,0.059928495486012506,0.059928495486012506,0.08695652173913043,MALE,1812
der_bote,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015367034827606589,0.015367034827606589,0.0,MALE,1812
bauer,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01831637903412598,0.01831637903412598,0.0,MALE,1812
mustafa,12,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.03072206502019975,0.03072206502019975,0.0,MALE,1812
hauptmann,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.023293131031534884,0.023293131031534884,0.0,MALE,1812
die_maenner,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01831637903412598,0.01831637903412598,0.0,,1812
