,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
antonio,44,10.0,2.0,8.0,17.0,0.09325396825396824,0.08766233766233766,0.040047792163070625,0.040047792163070625,3.090909090909091,MALE,1814
adelheid,173,18.0,9.0,9.0,53.0,0.23629148629148627,0.24242424242424243,0.19218317011349953,0.19218317011349953,2.7572254335260116,FEMALE,1814
berengar,72,9.0,4.0,5.0,23.0,0.07702020202020202,0.09577922077922078,0.0727720103658027,0.0727720103658027,1.597222222222222,MALE,1814
der_junge_reiter,21,6.0,3.0,3.0,10.0,0.1037157287157287,0.11904761904761904,0.026124503473684592,0.026124503473684592,1.4285714285714284,MALE,1814
otto,24,5.0,2.0,3.0,10.0,0.023809523809523808,0.1185064935064935,0.02825329631440439,0.02825329631440439,1.25,MALE,1814
zweiter_waechter,23,4.0,1.0,3.0,9.0,0.0367965367965368,0.0367965367965368,0.05093138712293575,0.05093138712293575,1.173913043478261,MALE,1814
der_dritte_buerger,6,2.0,0.0,2.0,3.0,0.0,0.0,0.012056164315564173,0.012056164315564173,1.0,MALE,1814
azzo,97,7.0,4.0,3.0,32.0,0.007575757575757576,0.04383116883116883,0.138848545259305,0.138848545259305,0.9896907216494846,MALE,1814
der_alte_reiter,15,4.0,2.0,2.0,7.0,0.0,0.04707792207792208,0.02050206538621617,0.02050206538621617,0.9333333333333333,MALE,1814
guido,120,11.0,7.0,4.0,23.0,0.01893939393939394,0.08116883116883117,0.17744007315109828,0.17744007315109828,0.7666666666666667,MALE,1814
oswald,10,3.0,1.0,2.0,3.0,0.0,0.056818181818181816,0.015138310539030466,0.015138310539030466,0.6,MALE,1814
burgvoigt,4,2.0,1.0,1.0,1.0,0.0,0.0,0.01474552871329606,0.01474552871329606,0.25,MALE,1814
erster_waechter,20,2.0,1.0,1.0,3.0,0.0,0.0,0.045729505349389715,0.045729505349389715,0.15,MALE,1814
der_zweite_buerger,7,2.0,1.0,1.0,1.0,0.0021645021645021645,0.0021645021645021645,0.015472070174726661,0.015472070174726661,0.14285714285714285,MALE,1814
der_erste_buerger,9,1.0,1.0,0.0,0.0,0.0,0.0,0.01888797603388915,0.01888797603388915,0.0,MALE,1814
herrmann,4,1.0,1.0,0.0,0.0,0.0,0.0,0.014457665627491283,0.014457665627491283,0.0,MALE,1814
margarethe,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014058544193937338,0.014058544193937338,0.0,FEMALE,1814
eine_junge_dirne,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014058544193937338,0.014058544193937338,0.0,MALE,1814
marsch_chor_tanz_alle,5,1.0,1.0,0.0,0.0,0.0,0.0,0.01806330395068366,0.01806330395068366,0.0,,1814
ein_trabant,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01474552871329606,0.01474552871329606,0.0,MALE,1814
eine_kammerfrau,3,1.0,1.0,0.0,0.0,0.0,0.0,0.015138310539030466,0.015138310539030466,0.0,FEMALE,1814
eine_der_frauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015138310539030466,0.015138310539030466,0.0,FEMALE,1814
volk_alles_volk,4,1.0,1.0,0.0,0.0,0.0,0.0,0.025207393766679576,0.025207393766679576,0.0,,1814
geist_lothars,2,,,,,,,,,,MALE,1814
der_bischof,1,,,,,,,,,,MALE,1814
der_schultheiss,3,,,,,,,,,,MALE,1814
