,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_von_langsalm,249,13.0,6.0,7.0,88.0,0.048214285714285716,0.05357142857142857,0.1412529168001186,0.1412529168001186,2.4738955823293174,FEMALE,1801
major,112,13.0,6.0,7.0,37.0,0.048214285714285716,0.23214285714285712,0.0879915699509389,0.0879915699509389,2.3125,MALE,1801
herr_von_langsalm,181,12.0,6.0,6.0,67.0,0.0035714285714285713,0.08482142857142856,0.11693971538954182,0.11693971538954182,2.2209944751381214,MALE,1801
doris,143,11.0,5.0,6.0,39.0,0.0,0.16220238095238093,0.09843395276625891,0.09843395276625891,1.6363636363636362,FEMALE,1801
selicour,158,12.0,6.0,6.0,42.0,0.0035714285714285713,0.029761904761904757,0.1142268417431514,0.1142268417431514,1.5949367088607593,MALE,1801
fritz,382,13.0,6.0,7.0,85.0,0.11071428571428571,0.10714285714285714,0.2831953772278984,0.2831953772278984,1.5575916230366493,MALE,1801
babet,111,11.0,6.0,5.0,26.0,0.0,0.2261904761904762,0.10153221380773567,0.10153221380773567,1.1711711711711712,FEMALE,1801
lafleur,4,1.0,1.0,0.0,0.0,0.0,0.0,0.027659896502461364,0.027659896502461364,0.0,MALE,1801
der_nachtwaechter,7,2.0,2.0,0.0,0.0,0.0,0.0,0.028767515811895027,0.028767515811895027,0.0,MALE,1801
frau_krick,5,,,,,,,,,,FEMALE,1801
