,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graf,337,16.0,7.0,9.0,118.0,0.18787878787878787,0.2863636363636364,0.1639911457554207,0.1639911457554207,3.1513353115727,MALE,1801
adolph,344,18.0,9.0,9.0,98.0,0.17424242424242425,0.05909090909090909,0.24684017662446223,0.24684017662446223,2.563953488372093,MALE,1801
stein,132,11.0,4.0,7.0,42.0,0.1106060606060606,0.10909090909090909,0.08564627102516725,0.08564627102516725,2.227272727272727,MALE,1801
graefin,130,11.0,5.0,6.0,43.0,0.030303030303030304,0.1409090909090909,0.07733589556986299,0.07733589556986299,1.9846153846153847,FEMALE,1801
amalie,58,10.0,5.0,5.0,16.0,0.05151515151515151,0.3045454545454545,0.06277936525844302,0.06277936525844302,1.3793103448275863,FEMALE,1801
henriette,95,7.0,4.0,3.0,20.0,0.0,0.00909090909090909,0.07556091607539034,0.07556091607539034,0.631578947368421,FEMALE,1801
ernestine,43,6.0,3.0,3.0,7.0,0.0,0.08636363636363636,0.04525750403035668,0.04525750403035668,0.48837209302325585,FEMALE,1801
frau_wunschel,40,5.0,3.0,2.0,7.0,0.0,0.0,0.04662024732228759,0.04662024732228759,0.35,FEMALE,1801
krautmann,56,4.0,2.0,2.0,5.0,0.0,0.0,0.09316707423067397,0.09316707423067397,0.17857142857142858,MALE,1801
balthasar,29,1.0,1.0,0.0,0.0,0.0,0.0,0.037501237237501345,0.037501237237501345,0.0,MALE,1801
jacob,12,2.0,2.0,0.0,0.0,0.0,0.0,0.042051782733773045,0.042051782733773045,0.0,MALE,1801
magd,3,1.0,1.0,0.0,0.0,0.0,0.0,0.02324838413666052,0.02324838413666052,0.0,FEMALE,1801
bedienter,1,,,,,,,,,,MALE,1801
