,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_staar,207,16.0,7.0,9.0,60.0,0.07835497835497834,0.016666666666666666,0.12661765855568066,0.12661765855568066,2.608695652173913,FEMALE,1802
buergermeister,189,17.0,8.0,9.0,48.0,0.2327705627705627,0.23939393939393938,0.1957775253818707,0.1957775253818707,2.2857142857142856,MALE,1802
sperling,123,12.0,5.0,7.0,37.0,0.10335497835497832,0.21060606060606057,0.09359611181423427,0.09359611181423427,2.1056910569105693,MALE,1802
olmers,144,12.0,5.0,7.0,32.0,0.02487012987012987,0.025757575757575753,0.12098913910993847,0.12098913910993847,1.5555555555555554,MALE,1802
herr_staar,117,10.0,5.0,5.0,22.0,0.010151515151515151,0.18181818181818182,0.08561537368290432,0.08561537368290432,0.9401709401709402,MALE,1802
sabine,165,10.0,5.0,5.0,24.0,0.02844155844155844,0.10454545454545454,0.13632648465392558,0.13632648465392558,0.7272727272727273,FEMALE,1802
frau_brendel,94,7.0,4.0,3.0,12.0,0.0058441558441558435,0.036363636363636355,0.05235167555063902,0.05235167555063902,0.3829787234042553,FEMALE,1802
frau_morgenroth,74,7.0,4.0,3.0,9.0,0.007121212121212121,0.06212121212121212,0.05545433579357288,0.05545433579357288,0.3648648648648649,FEMALE,1802
klaus,32,4.0,2.0,2.0,4.0,0.0,0.03636363636363636,0.06335616463802855,0.06335616463802855,0.25,MALE,1802
die_magd,8,3.0,3.0,0.0,0.0,0.0,0.0,0.02592678671180997,0.02592678671180997,0.0,FEMALE,1802
bauer,5,1.0,1.0,0.0,0.0,0.0,0.0,0.02438625541332886,0.02438625541332886,0.0,MALE,1802
nachtwaechter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.019602488694066503,0.019602488694066503,0.0,MALE,1802
die_kinder,2,,,,,,,,,,,1802
