,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
pizarro,206,20.0,7.0,13.0,76.0,0.19186274509803927,0.18823529411764706,0.09762206963198075,0.09762206963198075,4.796116504854369,MALE,1794
cora,141,14.0,4.0,10.0,40.0,0.10427170868347342,0.17310924369747901,0.03264904728888556,0.03264904728888556,2.8368794326241136,FEMALE,1794
ataliba,111,14.0,6.0,8.0,35.0,0.15322128851540615,0.16722689075630254,0.036034301850472,0.036034301850472,2.5225225225225225,MALE,1794
elvira,215,13.0,7.0,6.0,84.0,0.03450980392156863,0.024369747899159664,0.1094957906543253,0.1094957906543253,2.344186046511628,FEMALE,1794
alonzo,208,15.0,7.0,8.0,56.0,0.08205882352941178,0.025210084033613446,0.07291410016465741,0.07291410016465741,2.1538461538461537,MALE,1794
rolla,234,14.0,6.0,8.0,43.0,0.07771708683473388,0.11596638655462185,0.09760864829463889,0.09760864829463889,1.4700854700854702,MALE,1794
las_casas,30,7.0,3.0,4.0,11.0,0.03910364145658264,0.1781512605042017,0.012379416699363379,0.012379416699363379,1.4666666666666666,MALE,1794
die_weiber_3-1_und_3-2,19,6.0,2.0,4.0,6.0,0.026050420168067228,0.04537815126050421,0.020458138980953132,0.020458138980953132,1.263157894736842,,1794
der_alte_cazike,24,7.0,3.0,4.0,6.0,0.038865546218487396,0.04201680672268908,0.026981069345036905,0.026981069345036905,1.0,MALE,1794
die_wache_1-3,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007701335659590309,0.007701335659590309,1.0,MALE,1794
ein_weib_3-1b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007701335659590309,0.007701335659590309,1.0,FEMALE,1794
eines_der_weiber_3-1a,1,2.0,1.0,1.0,1.0,0.015126050420168069,0.015126050420168069,0.008395143578116616,0.008395143578116616,1.0,FEMALE,1794
valverde,58,7.0,4.0,3.0,16.0,0.004719887955182073,0.0638655462184874,0.030024897860807892,0.030024897860807892,0.8275862068965517,MALE,1794
wachsoldat_4-2_4-6_4-9,38,6.0,3.0,3.0,9.0,0.0,0.018487394957983194,0.03585194728063157,0.03585194728063157,0.7105263157894737,MALE,1794
greis,58,4.0,2.0,2.0,16.0,0.026050420168067228,0.026050420168067228,0.03848312020368908,0.03848312020368908,0.5517241379310345,MALE,1794
davila,8,3.0,1.0,2.0,2.0,0.0,0.041176470588235294,0.011523703888572115,0.011523703888572115,0.5,MALE,1794
almagro,18,3.0,1.0,2.0,4.0,0.016526610644257703,0.0319327731092437,0.010571147383062883,0.010571147383062883,0.4444444444444444,MALE,1794
das_erste_weib_3-1,5,1.0,0.0,1.0,2.0,0.0,0.0,0.007701335659590309,0.007701335659590309,0.4,FEMALE,1794
erster_soldat_5-2_und_5-6,13,3.0,2.0,1.0,5.0,0.015126050420168069,0.015126050420168069,0.05522897830139361,0.05522897830139361,0.38461538461538464,MALE,1794
ein_anderer_peruaner_3-1a,5,3.0,2.0,1.0,1.0,0.0,0.0,0.014191659220156288,0.014191659220156288,0.2,MALE,1794
diego,21,6.0,4.0,2.0,2.0,0.02689075630252101,0.05798319327731093,0.031075528353336275,0.031075528353336275,0.19047619047619047,MALE,1794
zweiter_soldat_5-2,11,2.0,1.0,1.0,2.0,0.0,0.0,0.0546392584450959,0.0546392584450959,0.18181818181818182,MALE,1794
knabe,36,3.0,2.0,1.0,3.0,0.0,0.013445378151260505,0.031065535844140797,0.031065535844140797,0.08333333333333333,MALE,1794
ein_soldat_5-6,2,1.0,1.0,0.0,0.0,0.0,0.0,0.00879318792177856,0.00879318792177856,0.0,MALE,1794
hoefling_4-16_und_4-17,5,2.0,2.0,0.0,0.0,0.0,0.0,0.010558367165469248,0.010558367165469248,0.0,MALE,1794
ein_weib_3-1e,1,1.0,1.0,0.0,0.0,0.0,0.0,0.008395143578116616,0.008395143578116616,0.0,FEMALE,1794
ein_soldat_5-5,4,2.0,2.0,0.0,0.0,0.0,0.0,0.010722714442640304,0.010722714442640304,0.0,MALE,1794
ein_indianer_2-7a,9,1.0,1.0,0.0,0.0,0.0,0.0,0.011201877314660293,0.011201877314660293,0.0,MALE,1794
ein_dritter_peruaner_3-1a,7,2.0,2.0,0.0,0.0,0.0,0.0,0.014191659220156288,0.014191659220156288,0.0,MALE,1794
ein_peruaner_3-1a,4,3.0,3.0,0.0,0.0,0.0,0.0,0.017839563300239968,0.017839563300239968,0.0,MALE,1794
xuliqua,4,2.0,2.0,0.0,0.0,0.0,0.0,0.02138341153363857,0.02138341153363857,0.0,FEMALE,1794
ein_indianer_2-7b,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0094516064871253,0.0094516064871253,0.0,MALE,1794
ein_indianer_2-4,2,1.0,1.0,0.0,0.0,0.0,0.0,0.00963086218045205,0.00963086218045205,0.0,MALE,1794
gomez,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009947720764078226,0.009947720764078226,0.0,MALE,1794
alle_1-4,2,1.0,1.0,0.0,0.0,0.0,0.0,0.00879318792177856,0.00879318792177856,0.0,,1794
ein_anderer_soldat_5-6,4,1.0,1.0,0.0,0.0,0.0,0.0,0.00879318792177856,0.00879318792177856,0.0,MALE,1794
gonzalo,4,,,,,,,,,,MALE,1794
chor_der_priester,2,,,,,,,,,,,1794
das_volk_2-3,3,,,,,,,,,,,1794
ein_soldat_2-6,2,,,,,,,,,,MALE,1794
die_indianer_viele_stimmen_das_volk_2-7_und_2-8,3,,,,,,,,,,,1794
ein_indianer_2-8,3,,,,,,,,,,MALE,1794
ein_anderer_2-8,3,,,,,,,,,,MALE,1794
das_zweite_weib_3-1,2,,,,,,,,,,FEMALE,1794
das_dritte_weib_3-1,2,,,,,,,,,,FEMALE,1794
ein_weib_3-1c,1,,,,,,,,,,FEMALE,1794
ein_weib_3-1d,1,,,,,,,,,,FEMALE,1794
der_andere_soldat_5-5,1,,,,,,,,,,MALE,1794
ein_peruaner_5-9,1,,,,,,,,,,MALE,1794
