,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gouverneur,250,15.0,4.0,11.0,92.0,0.11403162055335966,0.11462450592885375,0.04266306237414407,0.04266306237414407,4.048,MALE,1794
benjowsky,490,25.0,11.0,14.0,110.0,0.39568511198945977,0.39657444005270087,0.210476764136341,0.210476764136341,3.142857142857143,MALE,1794
corporal_3-9,2,2.0,0.0,2.0,2.0,0.0,0.0,0.009701886786181163,0.009701886786181163,2.0,MALE,1794
afanasja,272,11.0,4.0,7.0,69.0,0.04179841897233202,0.06785243741765482,0.09435272071498682,0.09435272071498682,1.775735294117647,FEMALE,1794
stepanoff,155,11.0,5.0,6.0,38.0,0.042885375494071135,0.07312252964426877,0.11060201430646391,0.11060201430646391,1.4709677419354839,MALE,1794
hettmann,151,10.0,4.0,6.0,36.0,0.01455862977602108,0.028656126482213436,0.0520632410398095,0.0520632410398095,1.4304635761589404,MALE,1794
crustiew,178,9.0,4.0,5.0,47.0,0.06686429512516469,0.07081686429512517,0.09312700708589094,0.09312700708589094,1.3202247191011236,MALE,1794
feodora,115,9.0,4.0,5.0,30.0,0.03672595520421607,0.029644268774703556,0.08368448915815108,0.08368448915815108,1.3043478260869565,FEMALE,1794
tschulosnikoff,41,7.0,4.0,3.0,7.0,0.094532279314888,0.133399209486166,0.02867891947568909,0.02867891947568909,0.5121951219512195,MALE,1794
kudrin,51,6.0,4.0,2.0,9.0,0.010770750988142293,0.03359683794466403,0.05049453923053588,0.05049453923053588,0.35294117647058826,MALE,1794
grigori,17,2.0,1.0,1.0,5.0,0.0,0.0,0.013184311309772247,0.013184311309772247,0.29411764705882354,MALE,1794
alle_verwiesene_verschworne,32,4.0,2.0,2.0,4.0,0.0,0.07015810276679842,0.021224579957211748,0.021224579957211748,0.25,,1794
erster_verschworner,39,6.0,4.0,2.0,2.0,0.0009881422924901185,0.04907773386034255,0.029274254651465652,0.029274254651465652,0.10256410256410256,MALE,1794
ordonnanz,30,4.0,3.0,1.0,2.0,0.0,0.037549407114624504,0.015771654872876698,0.015771654872876698,0.06666666666666667,MALE,1794
kasarinoff,31,5.0,4.0,1.0,2.0,0.01613965744400527,0.05632411067193675,0.022348531123836557,0.022348531123836557,0.06451612903225806,MALE,1794
baturin,19,4.0,3.0,1.0,1.0,0.010869565217391302,0.03425559947299077,0.02488708924552477,0.02488708924552477,0.05263157894736842,MALE,1794
erster_verwiesener,5,1.0,1.0,0.0,0.0,0.0,0.0,0.014754382531787638,0.014754382531787638,0.0,MALE,1794
wasili_gurcinin,9,1.0,1.0,0.0,0.0,0.0,0.0,0.011386052034716654,0.011386052034716654,0.0,MALE,1794
ein_bedienter_1-2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012073033364799323,0.012073033364799323,0.0,MALE,1794
offizier_1-2,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01088438298173477,0.01088438298173477,0.0,MALE,1794
zweiter_verschworner,5,1.0,1.0,0.0,0.0,0.0,0.0,0.011328331834716125,0.011328331834716125,0.0,MALE,1794
dritter_verschworner,4,1.0,1.0,0.0,0.0,0.0,0.0,0.011328331834716125,0.011328331834716125,0.0,MALE,1794
corporal_4-7,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010490217583216901,0.010490217583216901,0.0,MALE,1794
ein_soldat_5-5,19,1.0,1.0,0.0,0.0,0.0,0.0,0.015220202365431328,0.015220202365431328,0.0,MALE,1794
zweiter_verwiesener,1,,,,,,,,,,MALE,1794
dritter_verwiesener,1,,,,,,,,,,MALE,1794
vierter_verwiesener,1,,,,,,,,,,MALE,1794
fuenfter_verwiesener,1,,,,,,,,,,MALE,1794
sechster_verwiesener,1,,,,,,,,,,MALE,1794
siebenter_verwiesener,1,,,,,,,,,,MALE,1794
der_thuerhueter,1,,,,,,,,,,MALE,1794
corporal_5-3,1,,,,,,,,,,MALE,1794
