,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_major,189,16.0,7.0,9.0,52.0,0.34925925925925927,0.2796296296296296,0.14278855426899933,0.14278855426899933,2.4761904761904763,MALE,1788
der_graf,67,8.0,3.0,5.0,25.0,0.010925925925925926,0.08888888888888889,0.03191094019358775,0.03191094019358775,1.8656716417910448,MALE,1788
lotte,51,9.0,4.0,5.0,18.0,0.02759259259259259,0.2796296296296296,0.03430785021628682,0.03430785021628682,1.7647058823529413,FEMALE,1788
eulalia,157,13.0,7.0,6.0,36.0,0.08814814814814814,0.17222222222222222,0.11389899651270576,0.11389899651270576,1.3757961783439492,FEMALE,1788
graefin,109,8.0,4.0,4.0,30.0,0.014074074074074074,0.0,0.07745504399350149,0.07745504399350149,1.1009174311926606,FEMALE,1788
peter,74,11.0,5.0,6.0,12.0,0.06185185185185185,0.3,0.09914598986491484,0.09914598986491484,0.972972972972973,MALE,1788
franz,179,11.0,6.0,5.0,34.0,0.11574074074074074,0.04259259259259259,0.19918183018253563,0.19918183018253563,0.9497206703910615,MALE,1788
unbekannter,184,9.0,5.0,4.0,40.0,0.0575925925925926,0.07592592592592591,0.1633843410817756,0.1633843410817756,0.8695652173913043,MALE,1788
greis,21,7.0,4.0,3.0,5.0,0.0,0.061111111111111116,0.0516054982694264,0.0516054982694264,0.7142857142857142,MALE,1788
bittermann,88,10.0,6.0,4.0,10.0,0.01925925925925926,0.1,0.07035054752305593,0.07035054752305593,0.45454545454545453,MALE,1788
wilhelm,5,2.0,1.0,1.0,1.0,0.0,0.0,0.015970407893210685,0.015970407893210685,0.2,MALE,1788
malchen,3,,,,,,,,,,FEMALE,1788
