,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baron,265,19.0,9.0,51.0,10.0,90.0,0.14905372405372402,0.08095238095238096,0.14993363255736492,0.14993363255736492,3.3962264150943393,MALE,1803
deborah,68,11.0,4.0,8.0,7.0,20.0,0.03653846153846154,0.23314780457637602,0.029999330117218826,0.029999330117218826,2.058823529411765,FEMALE,1803
page,283,24.0,14.0,91.0,10.0,55.0,0.3552197802197803,0.31712810998525287,0.2518000548964842,0.2518000548964842,1.9434628975265018,MALE,1803
heldensinn,69,11.0,5.0,16.0,6.0,20.0,0.056959706959706966,0.03498168498168499,0.06840260258867581,0.06840260258867581,1.7391304347826089,MALE,1803
hanns,59,9.0,3.0,13.0,6.0,14.0,0.022863247863247862,0.059373959373959374,0.038517895523196344,0.038517895523196344,1.423728813559322,MALE,1803
kreuzqueer,47,10.0,4.0,10.0,6.0,10.0,0.02716727716727717,0.17417582417582417,0.0312282526099782,0.0312282526099782,1.2765957446808511,MALE,1803
brennessel,61,11.0,5.0,8.0,6.0,12.0,0.035470085470085476,0.17893891822463254,0.030633215757685798,0.030633215757685798,1.180327868852459,MALE,1803
thal,42,8.0,3.0,6.0,5.0,9.0,0.01501831501831502,0.2215094429380144,0.02684750135235212,0.02684750135235212,1.0714285714285714,MALE,1803
berg,57,10.0,5.0,13.0,5.0,10.0,0.042032967032967036,0.11051686408829266,0.04822699232447937,0.04822699232447937,0.8771929824561403,MALE,1803
annlieschen,100,10.0,5.0,27.0,5.0,15.0,0.015415140415140416,0.06702939917225632,0.08414136034757078,0.08414136034757078,0.75,FEMALE,1803
christine,12,4.0,2.0,7.0,2.0,4.0,0.003815628815628816,0.0,0.03462333191002305,0.03462333191002305,0.6666666666666666,FEMALE,1803
trudchen,88,8.0,4.0,11.0,4.0,14.0,0.01272893772893773,0.0923992673992674,0.035117552530608845,0.035117552530608845,0.6363636363636364,FEMALE,1803
stiefel,139,10.0,8.0,39.0,2.0,27.0,0.007783882783882785,0.005494505494505495,0.09093537406355781,0.09093537406355781,0.38848920863309355,MALE,1803
kaetchen,80,6.0,4.0,8.0,2.0,14.0,0.0013736263736263737,0.013186813186813187,0.03517501479040651,0.03517501479040651,0.35,FEMALE,1803
busch,42,5.0,3.0,11.0,2.0,5.0,0.004273504273504273,0.0018315018315018315,0.04441788863039743,0.04441788863039743,0.23809523809523808,MALE,1803
