,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_graf,83,13,5,8,25,0.2581018518518518,0.2546296296296296,0.08771818394867018,0.08771818394867018,2.4096385542168677,MALE,1747
caroline,61,12,6,6,21,0.1550925925925926,0.24305555555555555,0.11192621445146526,0.11192621445146526,2.0655737704918034,FEMALE,1747
johann,80,11,5,6,21,0.2210648148148148,0.2037037037037037,0.21714172756661662,0.21714172756661662,1.5750000000000002,MALE,1747
die_graefinn,52,8,3,5,14,0.04050925925925925,0.2569444444444444,0.03698978081834429,0.03698978081834429,1.346153846153846,FEMALE,1747
herrmann,77,10,5,5,19,0.08449074074074071,0.21527777777777776,0.15567069725614005,0.15567069725614005,1.2337662337662338,MALE,1747
chrysander,60,6,4,2,12,0.021990740740740738,0.0,0.19414643779725688,0.19414643779725688,0.4,MALE,1747
valer,61,6,4,2,11,0.00810185185185185,0.013888888888888888,0.07984362569318364,0.07984362569318364,0.36065573770491804,MALE,1747
arnold,24,4,2,2,4,0.0,0.0,0.046599191738384366,0.046599191738384366,0.3333333333333333,MALE,1747
valentin,7,4,3,1,2,0.004629629629629629,0.011574074074074072,0.037806184959365136,0.037806184959365136,0.2857142857142857,MALE,1747
fraeulein_christinchen,17,4,2,2,2,0.011574074074074072,0.15046296296296294,0.03215795577057351,0.03215795577057351,0.23529411764705882,FEMALE,1747
