,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
roland,39,11.0,5.0,7.0,6.0,6.0,0.35984848484848486,0.3876262626262626,0.15054625395064128,0.15054625395064128,0.9230769230769231,MALE,1897
karl,37,6.0,2.0,2.0,4.0,7.0,0.0946969696969697,0.0946969696969697,0.08775316983668865,0.08775316983668865,0.7567567567567568,MALE,1897
maennerchor_maenner_1-7_und_1-8,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.05629729776955459,0.05629729776955459,0.5,,1897
boland,27,4.0,1.0,1.0,3.0,4.0,0.007575757575757576,0.015151515151515152,0.0428640275195284,0.0428640275195284,0.4444444444444444,MALE,1897
florinda,33,4.0,2.0,2.0,2.0,4.0,0.06818181818181818,0.06818181818181818,0.05197271550633324,0.05197271550633324,0.24242424242424243,FEMALE,1897
emma,41,6.0,3.0,4.0,3.0,3.0,0.1856060606060606,0.1919191919191919,0.1584340638075272,0.1584340638075272,0.2195121951219512,FEMALE,1897
fierrabras,29,5.0,3.0,5.0,2.0,3.0,0.14393939393939395,0.12878787878787878,0.12268442475129308,0.12268442475129308,0.20689655172413793,MALE,1897
brutamonte,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.021536858122614414,0.021536858122614414,0.2,MALE,1897
die_mauren,7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.021536858122614414,0.021536858122614414,0.14285714285714285,,1897
eginhard,32,7.0,5.0,6.0,2.0,2.0,0.22348484848484848,0.25126262626262624,0.13345892046481658,0.13345892046481658,0.125,MALE,1897
eine_spinnerin,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06642600043977467,0.06642600043977467,0.0,FEMALE,1897
die_ritter,17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0428640275195284,0.0428640275195284,0.0,,1897
maragond,8,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.043625382189085175,0.043625382189085175,0.0,FEMALE,1897
