,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
kulican,113,15.0,7.0,19.0,8.0,28.0,0.6666666666666666,0.6875,0.40114160246495306,0.40114160246495306,1.9823008849557522,MALE,1767
cyrus,50,7.0,2.0,3.0,5.0,18.0,0.1597222222222222,0.2638888888888889,0.05088838373822299,0.05088838373822299,1.7999999999999998,MALE,1767
miketey,5,4.0,1.0,1.0,3.0,3.0,0.0,0.048611111111111105,0.019927763208898337,0.019927763208898337,1.7999999999999998,MALE,1767
mortong,37,4.0,1.0,8.0,3.0,8.0,0.06944444444444445,0.0,0.11494557937518211,0.11494557937518211,0.6486486486486487,MALE,1767
knab,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.029702296356460475,0.029702296356460475,0.25,MALE,1767
soffocles,4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.04187990821627785,0.04187990821627785,0.25,MALE,1767
faustibus,35,5.0,3.0,8.0,2.0,4.0,0.08333333333333333,0.20833333333333331,0.049766966002828,0.049766966002828,0.22857142857142856,MALE,1767
pumphia,75,6.0,5.0,22.0,1.0,7.0,0.06944444444444445,0.0,0.21708439570239904,0.21708439570239904,0.09333333333333334,FEMALE,1767
sigelvax,19,4.0,3.0,6.0,1.0,1.0,0.034722222222222224,0.06944444444444445,0.04496080857831752,0.04496080857831752,0.05263157894736842,MALE,1767
pinxi,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029702296356460475,0.029702296356460475,0.0,MALE,1767
