,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
salome,63,12.0,5.0,7.0,14.0,0.3,0.3111111111111111,0.20967817139137698,0.20967817139137698,1.5555555555555554,FEMALE,1905
ein_cappadocier,5,1.0,0.0,1.0,5.0,0.0,0.0,0.03564041271923214,0.03564041271923214,1.0,MALE,1905
herodes,50,6.0,2.0,4.0,12.0,0.11111111111111112,0.11111111111111112,0.11519608613951393,0.11519608613951393,0.96,MALE,1905
page,8,1.0,0.0,1.0,2.0,0.0,0.0,0.03564041271923214,0.03564041271923214,0.25,MALE,1905
jochanaan,25,2.0,1.0,1.0,4.0,0.0,0.0,0.06110112258224271,0.06110112258224271,0.16,MALE,1905
erster_soldat,14,4.0,3.0,1.0,2.0,0.022222222222222223,0.05555555555555556,0.08682487313775736,0.08682487313775736,0.14285714285714285,MALE,1905
herodias,33,4.0,2.0,2.0,2.0,0.05555555555555556,0.14444444444444446,0.09732982045454813,0.09732982045454813,0.12121212121212122,FEMALE,1905
narraboth,22,2.0,1.0,1.0,1.0,0.0,0.0,0.073831477513748,0.073831477513748,0.045454545454545456,MALE,1905
zweiter_soldat,10,2.0,2.0,0.0,0.0,0.0,0.0,0.14763266287621316,0.14763266287621316,0.0,MALE,1905
erster_jude,7,1.0,1.0,0.0,0.0,0.0,0.0,0.07700502134499805,0.07700502134499805,0.0,MALE,1905
erster_nazarener,8,1.0,1.0,0.0,0.0,0.0,0.0,0.060119939121137486,0.060119939121137486,0.0,MALE,1905
sklave,1,,,,,,,,,,MALE,1905
zweiter_jude,2,,,,,,,,,,MALE,1905
dritter_jude,2,,,,,,,,,,MALE,1905
vierter_jude,2,,,,,,,,,,MALE,1905
fuenfter_jude,2,,,,,,,,,,MALE,1905
zweiter_nazarener,2,,,,,,,,,,MALE,1905
