,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
albertine,220,19.0,8.0,11.0,86.0,0.15946691176470587,0.13633578431372548,0.11615660016598713,0.11615660016598713,4.3,FEMALE,1879
koerner,171,15.0,8.0,7.0,76.0,0.13609068627450976,0.18106617647058823,0.1426930114553609,0.1426930114553609,3.1111111111111107,MALE,1879
emilie,172,17.0,8.0,9.0,57.0,0.13204656862745098,0.19761029411764705,0.09638346305979283,0.09638346305979283,2.9825581395348837,FEMALE,1879
hasemann,218,18.0,9.0,9.0,65.0,0.12760416666666663,0.18658088235294118,0.14586754916146005,0.14586754916146005,2.68348623853211,MALE,1879
wilhelm,148,14.0,7.0,7.0,44.0,0.15631127450980392,0.15992647058823528,0.10271679864758212,0.10271679864758212,2.081081081081081,MALE,1879
lohmann,3,3.0,1.0,2.0,3.0,0.05514705882352941,0.05514705882352941,0.03142864585337625,0.03142864585337625,2.0,MALE,1879
eduard,80,13.0,6.0,7.0,16.0,0.032138480392156867,0.15624999999999997,0.07380810907996171,0.07380810907996171,1.4000000000000001,MALE,1879
rosa,103,13.0,7.0,6.0,23.0,0.08385416666666666,0.15012254901960784,0.09637283980703398,0.09637283980703398,1.3398058252427185,FEMALE,1879
frau_klinkert,52,8.0,4.0,4.0,13.0,0.011642156862745098,0.11580882352941177,0.02877679096362237,0.02877679096362237,1.0,FEMALE,1879
marthe,17,6.0,3.0,3.0,4.0,0.0014705882352941176,0.1363357843137255,0.030881198954862663,0.030881198954862663,0.7058823529411764,FEMALE,1879
klinkert,4,1.0,0.0,1.0,2.0,0.0,0.0,0.008803255697777079,0.008803255697777079,0.5,MALE,1879
franziska,44,5.0,3.0,2.0,10.0,0.0,0.0,0.027037105792517772,0.027037105792517772,0.45454545454545453,FEMALE,1879
dr_seiler,7,2.0,1.0,1.0,2.0,0.0,0.0,0.010399148633055943,0.010399148633055943,0.2857142857142857,MALE,1879
zinnow,18,4.0,3.0,1.0,5.0,0.001286764705882353,0.0,0.02366558051314662,0.02366558051314662,0.2777777777777778,MALE,1879
anna,12,3.0,2.0,1.0,3.0,0.0,0.011029411764705881,0.01567374882285496,0.01567374882285496,0.25,FEMALE,1879
bartsch,6,2.0,1.0,1.0,1.0,0.0,0.0,0.026613033503650914,0.026613033503650914,0.16666666666666666,MALE,1879
fritz,6,2.0,1.0,1.0,1.0,0.0,0.0,0.012771815323564499,0.012771815323564499,0.16666666666666666,MALE,1879
frau_gieseke,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009951304564392029,0.009951304564392029,0.0,FEMALE,1879
die_gesellen,2,,,,,,,,,,,1879
