,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
weigelt,314,28.0,13.0,15.0,124.0,0.39788019951063425,0.19795783926218705,0.19922481420156968,0.19922481420156968,5.923566878980892,MALE,1873
rudolf,147,19.0,10.0,9.0,45.0,0.13756587615283267,0.21343873517786557,0.10946244457796159,0.10946244457796159,2.7551020408163267,MALE,1873
leopold,101,11.0,5.0,6.0,41.0,0.033488612836438926,0.14459815546772065,0.04937104254277258,0.04937104254277258,2.435643564356436,MALE,1873
zernickow,46,10.0,4.0,6.0,17.0,0.03414737436476567,0.06159420289855072,0.03579650988037318,0.03579650988037318,2.217391304347826,MALE,1873
clara,143,16.0,9.0,7.0,44.0,0.08410502540937324,0.303030303030303,0.09078171795961855,0.09078171795961855,2.153846153846154,FEMALE,1873
emma,114,16.0,9.0,7.0,34.0,0.10274562394127612,0.21179183135704868,0.08924723748567898,0.08924723748567898,2.087719298245614,FEMALE,1873
gottlieb,23,5.0,2.0,3.0,11.0,0.0,0.04281949934123847,0.013284297126421471,0.013284297126421471,1.4347826086956523,MALE,1873
minna,104,12.0,5.0,7.0,21.0,0.21047430830039524,0.2519762845849802,0.07677032029860807,0.07677032029860807,1.4134615384615385,FEMALE,1873
carl,3,2.0,0.0,2.0,2.0,0.0,0.0,0.007119816915870592,0.007119816915870592,1.3333333333333333,MALE,1873
hempel,16,6.0,2.0,4.0,5.0,0.010267268962921135,0.10474308300395256,0.018510187432718476,0.018510187432718476,1.25,MALE,1873
stresow,2,2.0,1.0,1.0,2.0,0.04150197628458498,0.04150197628458498,0.00848543145184231,0.00848543145184231,1.0,MALE,1873
mehlmeyer,65,10.0,5.0,5.0,13.0,0.030366553736118965,0.09716732542819499,0.06390016578969529,0.06390016578969529,1.0,MALE,1873
erster_kellner,6,3.0,1.0,2.0,3.0,0.0,0.01284584980237154,0.009851045987814028,0.009851045987814028,1.0,MALE,1873
marie,23,8.0,5.0,3.0,6.0,0.0019433465085638994,0.10375494071146245,0.017693481215661326,0.017693481215661326,0.7826086956521738,FEMALE,1873
kruemel,19,4.0,2.0,2.0,5.0,0.07905138339920947,0.07905138339920947,0.0403800684408406,0.0403800684408406,0.5263157894736842,MALE,1873
mielisch,26,4.0,2.0,2.0,6.0,0.0,0.0032938076416337285,0.026577849500411498,0.026577849500411498,0.46153846153846156,MALE,1873
natalie,38,5.0,3.0,2.0,8.0,0.0009881422924901185,0.0029644268774703555,0.0281375326140334,0.0281375326140334,0.42105263157894735,FEMALE,1873
schmidt,10,2.0,1.0,1.0,4.0,0.0,0.0,0.011216660523785744,0.011216660523785744,0.4,MALE,1873
schwalbach,37,4.0,2.0,2.0,6.0,0.0,0.0,0.022138944074151387,0.022138944074151387,0.32432432432432434,MALE,1873
wilhelm,24,4.0,3.0,1.0,7.0,0.0014822134387351778,0.0,0.023712157130129162,0.023712157130129162,0.2916666666666667,MALE,1873
zweiter_kellner,7,2.0,1.0,1.0,2.0,0.0,0.0,0.020847649149081597,0.020847649149081597,0.2857142857142857,MALE,1873
anna,11,3.0,2.0,1.0,1.0,0.0,0.0,0.012930731627385308,0.012930731627385308,0.09090909090909091,FEMALE,1873
lipsky,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014332499186300642,0.014332499186300642,0.0,MALE,1873
die_lieferanten,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010227394887274643,0.010227394887274643,0.0,,1873
die_waescherin,1,,,,,,,,,,FEMALE,1873
alle_1-v-14,1,,,,,,,,,,,1873
erster_lieferant,1,,,,,,,,,,MALE,1873
zweiter_lieferant,1,,,,,,,,,,MALE,1873
