,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
franz,219,24.0,11.0,13.0,48.0,0.361898335582546,0.3535762483130904,0.1391214489242973,0.1391214489242973,2.8493150684931505,MALE,1859
richard,21,9.0,3.0,6.0,7.0,0.08715699505173188,0.10998650472334683,0.015871014500268423,0.015871014500268423,2.0,MALE,1859
ulrich,113,11.0,5.0,6.0,37.0,0.21390013495276652,0.21390013495276652,0.12347939540571602,0.12347939540571602,1.9646017699115044,MALE,1859
ludwig,21,3.0,0.0,3.0,11.0,0.0,0.0,0.00587128399460791,0.00587128399460791,1.5714285714285716,MALE,1859
zweiter_bauer,3,3.0,1.0,2.0,2.0,0.014844804318488529,0.014844804318488529,0.01849191158696781,0.01849191158696781,1.3333333333333333,MALE,1859
fuerstenberg,20,8.0,4.0,4.0,6.0,0.08434547908232118,0.09379217273954116,0.02031267825844478,0.02031267825844478,1.2,MALE,1859
renner,23,6.0,3.0,3.0,9.0,0.031039136302294195,0.031039136302294195,0.01890173739183698,0.01890173739183698,1.173913043478261,MALE,1859
frowin,16,4.0,1.0,3.0,6.0,0.015519568151147098,0.015519568151147098,0.014504197073986116,0.014504197073986116,1.125,MALE,1859
geheimschreiber,2,2.0,1.0,1.0,2.0,0.0,0.0,0.05024714461782132,0.05024714461782132,1.0,MALE,1859
dritte_frau,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00587128399460791,0.00587128399460791,1.0,FEMALE,1859
wirt,9,5.0,3.0,2.0,4.0,0.020242914979757085,0.06882591093117409,0.017395054210528886,0.017395054210528886,0.8888888888888888,MALE,1859
marie,81,6.0,3.0,3.0,17.0,0.007534862798020692,0.2233468286099865,0.0447085678106627,0.0447085678106627,0.6296296296296295,FEMALE,1859
philipp_von_ruedesheim,24,3.0,1.0,2.0,6.0,0.0,0.01417004048582996,0.015725790913914534,0.015725790913914534,0.5,MALE,1859
lorch,2,1.0,0.0,1.0,1.0,0.0,0.0,0.00587128399460791,0.00587128399460791,0.5,MALE,1859
karl,29,1.0,0.0,1.0,14.0,0.0,0.0,0.00587128399460791,0.00587128399460791,0.4827586206896552,MALE,1859
jos_fritz,38,8.0,5.0,3.0,6.0,0.13360323886639675,0.13360323886639675,0.08908615396323344,0.08908615396323344,0.47368421052631576,MALE,1859
herold_4-4,5,1.0,0.0,1.0,2.0,0.0,0.0,0.00587128399460791,0.00587128399460791,0.4,MALE,1859
sombreff,8,2.0,1.0,1.0,3.0,0.0,0.0,0.00870799631411783,0.00870799631411783,0.375,MALE,1859
legat,17,2.0,1.0,1.0,6.0,0.0,0.0,0.04460108614942045,0.04460108614942045,0.35294117647058826,MALE,1859
vierter_buerger,3,2.0,1.0,1.0,1.0,0.0,0.0,0.007798483991726923,0.007798483991726923,0.3333333333333333,MALE,1859
oecolampadius,6,2.0,1.0,1.0,2.0,0.0,0.0,0.011544708633627752,0.011544708633627752,0.3333333333333333,MALE,1859
balthasar,73,6.0,4.0,2.0,12.0,0.008996851102114258,0.012145748987854251,0.06092715832361587,0.06092715832361587,0.3287671232876712,MALE,1859
einige_andere_mehre_bauern,4,1.0,0.0,1.0,1.0,0.0,0.0,0.00587128399460791,0.00587128399460791,0.25,,1859
eitelfritz,20,4.0,2.0,2.0,2.0,0.024291497975708502,0.015519568151147098,0.014913220541211258,0.014913220541211258,0.2,MALE,1859
dritter_bauer,5,2.0,1.0,1.0,1.0,0.0,0.0,0.01849191158696781,0.01849191158696781,0.2,MALE,1859
erster_bauer,5,2.0,1.0,1.0,1.0,0.0,0.0,0.013730396346876093,0.013730396346876093,0.2,MALE,1859
kurt,6,2.0,1.0,1.0,1.0,0.0,0.0,0.010798537454261223,0.010798537454261223,0.16666666666666666,MALE,1859
erzbischof,19,3.0,2.0,1.0,3.0,0.016194331983805668,0.016194331983805668,0.04556868317608033,0.04556868317608033,0.15789473684210525,MALE,1859
landgraf_philipp,8,2.0,1.0,1.0,1.0,0.0,0.0,0.007798483991726923,0.007798483991726923,0.125,MALE,1859
ritter,14,3.0,2.0,1.0,1.0,0.0006747638326585695,0.0006747638326585695,0.05222168819725463,0.05222168819725463,0.07142857142857142,MALE,1859
ein_knappe,1,1.0,1.0,0.0,0.0,0.0,0.0,0.008334910724434565,0.008334910724434565,0.0,MALE,1859
ein_lanzknecht_4-3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012209417603229338,0.012209417603229338,0.0,MALE,1859
reisiger,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007926050279100337,0.007926050279100337,0.0,MALE,1859
alle_4-9_und_4-10,5,1.0,1.0,0.0,0.0,0.0,0.0,0.010798537454261223,0.010798537454261223,0.0,,1859
choral,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007798483991726923,0.007798483991726923,0.0,,1859
viele_andere_mehrere_stimmen_alle_4-5_bis_4-7,7,2.0,2.0,0.0,0.0,0.0,0.0,0.014427206445397273,0.014427206445397273,0.0,,1859
erster_buerger,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010861881266507206,0.010861881266507206,0.0,MALE,1859
hauptmann_joerg,6,1.0,1.0,0.0,0.0,0.0,0.0,0.008334910724434565,0.008334910724434565,0.0,MALE,1859
alle_4-2_bis_4-4,6,1.0,1.0,0.0,0.0,0.0,0.0,0.008334910724434565,0.008334910724434565,0.0,,1859
arzt,4,1.0,1.0,0.0,0.0,0.0,0.0,0.010798537454261223,0.010798537454261223,0.0,MALE,1859
diener,1,,,,,,,,,,MALE,1859
dhan,2,,,,,,,,,,MALE,1859
dalberg,4,,,,,,,,,,MALE,1859
alle_3-7_und_3-8,11,,,,,,,,,,,1859
schwarzenberg,3,,,,,,,,,,MALE,1859
tuerkheim,1,,,,,,,,,,MALE,1859
hartmuth,4,,,,,,,,,,MALE,1859
erste_frau,1,,,,,,,,,,FEMALE,1859
zweite_frau,1,,,,,,,,,,FEMALE,1859
zweiter_buerger,1,,,,,,,,,,MALE,1859
dritter_buerger,3,,,,,,,,,,MALE,1859
hauptmann,1,,,,,,,,,,MALE,1859
lanzknecht_4-7,1,,,,,,,,,,MALE,1859
ein_soeldner,1,,,,,,,,,,MALE,1859
erster_lanzknecht,1,,,,,,,,,,MALE,1859
zweiter_landsknecht,1,,,,,,,,,,MALE,1859
ein_lanzknecht_4-9,1,,,,,,,,,,MALE,1859
lanzknecht_4-10,1,,,,,,,,,,MALE,1859
erster_bote,1,,,,,,,,,,MALE,1859
zweiter_bote,1,,,,,,,,,,MALE,1859
ein_bauer,1,,,,,,,,,,MALE,1859
vierter_bauer,2,,,,,,,,,,MALE,1859
herold_5-9,1,,,,,,,,,,MALE,1859
