,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herzog,276,12,4,8,106,0.10897435897435898,0.11645299145299143,0.049011550494857344,0.049011550494857344,3.072463768115942,MALE,1846
koch,153,14,7,7,40,0.24091880341880337,0.22970085470085466,0.09139381236713201,0.09139381236713201,1.8300653594771243,MALE,1846
laura,168,14,7,7,35,0.28952991452991456,0.47649572649572647,0.22784714964348968,0.22784714964348968,1.4583333333333335,FEMALE,1846
graefin,189,10,4,6,45,0.04220085470085469,0.08974358974358974,0.09276105926158833,0.09276105926158833,1.4285714285714284,FEMALE,1846
hover,22,5,1,4,6,0.0021367521367521365,0.0,0.01844773346985982,0.01844773346985982,1.0909090909090908,MALE,1846
schiller,218,14,7,7,32,0.2831196581196581,0.3707264957264957,0.12041667607367337,0.12041667607367337,1.0275229357798166,MALE,1846
generalin,192,10,4,6,30,0.05341880341880341,0.13141025641025642,0.08340364731817924,0.08340364731817924,0.9375,FEMALE,1846
pfeiffer,24,6,3,3,5,0.08333333333333333,0.10897435897435898,0.02274525492473331,0.02274525492473331,0.625,MALE,1846
nette,13,4,2,2,3,0.0,0.1175213675213675,0.019739236732617516,0.019739236732617516,0.46153846153846156,MALE,1846
bleistift,58,3,2,1,6,0.0,0.0,0.05180548264683041,0.05180548264683041,0.10344827586206896,MALE,1846
rieger,44,5,3,2,2,0.0016025641025641025,0.04807692307692307,0.023623254137993707,0.023623254137993707,0.09090909090909091,MALE,1846
peters,23,5,4,1,2,0.0021367521367521365,0.022435897435897436,0.024277250595879766,0.024277250595879766,0.08695652173913043,MALE,1846
hauptmann,109,5,4,1,6,0.007478632478632477,0.0,0.1308683307768467,0.1308683307768467,0.05504587155963303,MALE,1846
scharpstein,28,5,4,1,1,0.08386752136752137,0.11858974358974358,0.0436595615563186,0.0436595615563186,0.03571428571428571,MALE,1846
