,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gottsched,364,22.0,10.0,12.0,95.0,0.16123737373737376,0.0,0.23008655999816982,0.23008655999816982,3.1318681318681323,MALE,1845
frau_gottsched,178,14.0,5.0,9.0,49.0,0.032196969696969696,0.07575757575757576,0.08181543756521828,0.08181543756521828,2.4775280898876404,FEMALE,1845
bolza,114,14.0,5.0,9.0,31.0,0.03699494949494949,0.07828282828282829,0.05038659929529565,0.05038659929529565,2.447368421052632,MALE,1845
graefin,56,12.0,4.0,8.0,16.0,0.011363636363636364,0.08964646464646464,0.024847011633633925,0.024847011633633925,2.2857142857142856,FEMALE,1845
gellert,190,18.0,9.0,9.0,31.0,0.11603535353535352,0.22159090909090903,0.10798049835737514,0.10798049835737514,1.468421052631579,MALE,1845
siegmund,74,14.0,8.0,6.0,18.0,0.024368686868686866,0.1571969696969697,0.05730284987915291,0.05730284987915291,1.4594594594594597,MALE,1845
prinz,73,13.0,6.0,7.0,15.0,0.18118686868686867,0.4078282828282828,0.0439378704174025,0.0439378704174025,1.4383561643835616,MALE,1845
gottfried,36,6.0,3.0,3.0,10.0,0.0,0.0,0.03508327052493125,0.03508327052493125,0.8333333333333334,MALE,1845
cato,181,17.0,10.0,7.0,20.0,0.1018939393939394,0.050505050505050504,0.15401645987166923,0.15401645987166923,0.7734806629834254,MALE,1845
schladritz,155,13.0,9.0,4.0,19.0,0.029545454545454545,0.08396464646464646,0.1266936830310407,0.1266936830310407,0.49032258064516127,MALE,1845
katharina,47,7.0,4.0,3.0,7.0,0.0031565656565656565,0.025252525252525252,0.027745948136448276,0.027745948136448276,0.44680851063829785,FEMALE,1845
wilhelmine,67,8.0,6.0,2.0,5.0,0.006565656565656566,0.0606060606060606,0.04358576905870769,0.04358576905870769,0.14925373134328357,FEMALE,1845
zastrow,17,2.0,1.0,1.0,1.0,0.0,0.0,0.016518042230954617,0.016518042230954617,0.058823529411764705,MALE,1845
wedell,2,,,,,,,,,,MALE,1845
