,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ulrike,104,16.0,8.0,32.0,8.0,44.0,0.1142156862745098,0.2990196078431373,0.1084378437649247,0.1084378437649247,3.3846153846153846,FEMALE,1890
klapproth,256,21.0,11.0,66.0,10.0,55.0,0.3553308823529412,0.06127450980392157,0.21734297109267411,0.21734297109267411,2.1484375,MALE,1890
josephine,62,13.0,7.0,15.0,6.0,21.0,0.12689950980392156,0.30943627450980393,0.05583798854115639,0.05583798854115639,2.032258064516129,FEMALE,1890
schoeller,44,9.0,4.0,9.0,5.0,15.0,0.017769607843137254,0.13602941176470587,0.03999521175081308,0.03999521175081308,1.7045454545454544,MALE,1890
ida,61,11.0,6.0,26.0,5.0,20.0,0.10367647058823529,0.3235294117647059,0.07908753959137287,0.07908753959137287,1.6393442622950818,FEMALE,1890
alfred,97,9.0,4.0,30.0,5.0,29.0,0.10018382352941177,0.05514705882352941,0.12166754227364447,0.12166754227364447,1.4948453608247423,MALE,1890
kissling,73,10.0,5.0,20.0,5.0,19.0,0.07107843137254903,0.18504901960784312,0.07960372402029844,0.07960372402029844,1.3013698630136985,MALE,1890
eugen,60,6.0,3.0,14.0,3.0,14.0,0.018627450980392157,0.06066176470588235,0.05577649300664843,0.05577649300664843,0.7,MALE,1890
groeber,23,4.0,2.0,4.0,2.0,8.0,0.051470588235294115,0.05514705882352941,0.02184309999470743,0.02184309999470743,0.6956521739130435,MALE,1890
franziska,14,5.0,2.0,3.0,3.0,3.0,0.051470588235294115,0.23835784313725494,0.017056905414255943,0.017056905414255943,0.6428571428571428,FEMALE,1890
amalie,30,6.0,3.0,8.0,3.0,6.0,0.029105392156862742,0.09926470588235294,0.03439506516754713,0.03439506516754713,0.6000000000000001,FEMALE,1890
bernhardy,66,5.0,2.0,15.0,3.0,12.0,0.01409313725490196,0.0,0.06090239507006716,0.06090239507006716,0.5454545454545454,MALE,1890
kellner_2-3,2,2.0,1.0,1.0,1.0,1.0,0.0012254901960784314,0.011642156862745097,0.014338801776800515,0.014338801776800515,0.5,MALE,1890
blumenmaedchen,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009506019176081477,0.009506019176081477,0.5,FEMALE,1890
friederike,17,3.0,2.0,9.0,1.0,7.0,0.001838235294117647,0.0024509803921568627,0.04290655018811472,0.04290655018811472,0.4117647058823529,FEMALE,1890
jean,13,3.0,1.0,3.0,2.0,2.0,0.005514705882352941,0.05514705882352941,0.016468431358167786,0.016468431358167786,0.3076923076923077,MALE,1890
erster_gast_2-2,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011766114072590927,0.011766114072590927,0.0,MALE,1890
kellner_1-1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013067303740134279,0.013067303740134279,0.0,MALE,1890
