,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
jakob,65,16.0,7.0,9.0,22.0,0.3515873015873016,0.45396825396825397,0.10941976574183715,0.10941976574183715,3.0461538461538464,MALE,1908
lehmann,15,6.0,2.0,4.0,5.0,0.0011904761904761906,0.09523809523809523,0.03482312529523845,0.03482312529523845,1.3333333333333333,MALE,1908
anna,48,11.0,6.0,5.0,12.0,0.21269841269841272,0.22142857142857145,0.10532367413160604,0.10532367413160604,1.25,FEMALE,1908
innocentia,87,7.0,3.0,4.0,25.0,0.18055555555555555,0.11904761904761905,0.13750673618259165,0.13750673618259165,1.1494252873563218,FEMALE,1908
apotheker,81,9.0,5.0,4.0,23.0,0.10952380952380954,0.19603174603174603,0.12097826053810087,0.12097826053810087,1.1358024691358024,MALE,1908
agnes,4,3.0,1.0,2.0,2.0,0.027380952380952384,0.022619047619047622,0.02505924696395472,0.02505924696395472,1.0,FEMALE,1908
heinrich,24,7.0,4.0,3.0,5.0,0.0619047619047619,0.10873015873015873,0.06342797588113869,0.06342797588113869,0.625,MALE,1908
wirt,26,8.0,4.0,4.0,4.0,0.04007936507936508,0.1361111111111111,0.08105418836046044,0.08105418836046044,0.6153846153846154,MALE,1908
zirngibl,2,1.0,0.0,1.0,1.0,0.0,0.0,0.010138189647369263,0.010138189647369263,0.5,MALE,1908
gendarm,105,10.0,7.0,3.0,16.0,0.17380952380952383,0.0880952380952381,0.18603417837765088,0.18603417837765088,0.4571428571428572,MALE,1908
wabn,15,2.0,1.0,1.0,6.0,0.0,0.0,0.024163709854901544,0.024163709854901544,0.4,FEMALE,1908
kommandantin,6,1.0,0.0,1.0,2.0,0.0,0.0,0.010138189647369263,0.010138189647369263,0.3333333333333333,FEMALE,1908
kommandant,16,3.0,1.0,2.0,2.0,0.03650793650793651,0.07380952380952381,0.019079914283491022,0.019079914283491022,0.25,MALE,1908
braumeister,4,3.0,2.0,1.0,1.0,0.06190476190476191,0.12380952380952381,0.02298325481168564,0.02298325481168564,0.25,MALE,1908
erster_bauer,18,2.0,1.0,1.0,4.0,0.0,0.0,0.035503799065539854,0.035503799065539854,0.2222222222222222,MALE,1908
stimmen,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014365791217064362,0.014365791217064362,0.0,,1908
zweiter_bauer,1,,,,,,,,,,MALE,1908
