,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_fuerst,77,10.0,3.0,8.0,7.0,19.0,0.16792929292929293,0.17045454545454547,0.04427171987987,0.04427171987987,1.7272727272727273,MALE,1776
einer_von_den_bewaffneten,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.014375759447063255,0.014375759447063255,1.0,MALE,1776
julius,120,11.0,6.0,23.0,5.0,21.0,0.20580808080808083,0.2689393939393939,0.19813193479677607,0.19813193479677607,0.875,MALE,1776
caecilia,33,8.0,4.0,6.0,4.0,7.0,0.25,0.2727272727272727,0.09640611801031501,0.09640611801031501,0.8484848484848485,FEMALE,1776
guido,63,8.0,4.0,16.0,4.0,13.0,0.1616161616161616,0.28030303030303033,0.0816804249747839,0.0816804249747839,0.8253968253968254,MALE,1776
nonne,3,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.037789142312477694,0.037789142312477694,0.6666666666666666,FEMALE,1776
erzbischof,36,4.0,2.0,7.0,2.0,11.0,0.06060606060606061,0.06818181818181818,0.034959836638419166,0.034959836638419166,0.6111111111111112,MALE,1776
blanka,41,7.0,4.0,6.0,3.0,8.0,0.14646464646464646,0.14393939393939395,0.1680521261526726,0.1680521261526726,0.5853658536585367,FEMALE,1776
aspermonte,67,5.0,3.0,16.0,2.0,12.0,0.07575757575757576,0.07575757575757576,0.1388530565882522,0.1388530565882522,0.3582089552238806,MALE,1776
porzia,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.014375759447063255,0.014375759447063255,0.25,FEMALE,1776
aebtissin,23,3.0,2.0,8.0,1.0,1.0,0.0,0.0,0.1277102061980193,0.1277102061980193,0.043478260869565216,FEMALE,1776
ein_bedienter_4-5,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.02505703575309451,0.02505703575309451,0.0,MALE,1776
arzt,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01833687980119312,0.01833687980119312,0.0,MALE,1776
