,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
robert,64,15,7,8,17,0.47222222222222227,0.4666666666666667,0.3404900110187779,0.3404900110187779,2.125,MALE,1776
major,8,3,1,2,3,0.0,0.0,0.034327767029145126,0.034327767029145126,0.75,MALE,1776
beichtvater,6,2,0,2,2,0.0,0.0,0.024601588809219786,0.024601588809219786,0.6666666666666666,MALE,1776
lord_hot,31,7,4,3,6,0.15,0.15555555555555556,0.18787121271208726,0.18787121271208726,0.5806451612903225,MALE,1776
wundarzt,2,2,1,1,1,0.0,0.0,0.05121704317054794,0.05121704317054794,0.5,MALE,1776
lord_hamilton,19,4,2,2,3,0.0,0.22222222222222224,0.08526565954210703,0.08526565954210703,0.3157894736842105,MALE,1776
prinzessin,10,2,1,1,3,0.0,0.0,0.04162589699499933,0.04162589699499933,0.3,FEMALE,1776
tognina,11,2,1,1,1,0.0,0.0,0.09269882155233795,0.09269882155233795,0.09090909090909091,FEMALE,1776
runde,1,1,1,0,0,0.0,0.0,0.04162589699499933,0.04162589699499933,0.0,,1776
williams,2,1,1,0,0,0.0,0.0,0.04162589699499933,0.04162589699499933,0.0,MALE,1776
peter,4,1,1,0,0,0.0,0.0,0.05865020518077887,0.05865020518077887,0.0,MALE,1776
