,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
geheimer_rat,97,15.0,6.0,23.0,9.0,42.0,0.22655701754385965,0.20789473684210527,0.10218195352294814,0.10218195352294814,3.8969072164948457,MALE,1774
fritz,91,13.0,6.0,27.0,7.0,26.0,0.19541666666666666,0.21973684210526315,0.1281632926043774,0.1281632926043774,2.0,MALE,1774
major,58,10.0,5.0,16.0,5.0,18.0,0.14342105263157895,0.28157894736842104,0.055843846106842364,0.055843846106842364,1.5517241379310345,MALE,1774
wenzeslaus,53,8.0,4.0,9.0,4.0,20.0,0.07874999999999999,0.15,0.06282779574527711,0.06282779574527711,1.509433962264151,MALE,1774
laeuffer,87,10.0,5.0,27.0,5.0,19.0,0.11519736842105265,0.043421052631578944,0.12608029052639985,0.12608029052639985,1.0919540229885059,MALE,1774
majorin,28,6.0,3.0,7.0,3.0,9.0,0.026688596491228078,0.09868421052631579,0.03903644826856773,0.03903644826856773,0.9642857142857144,FEMALE,1774
paetus,79,10.0,6.0,28.0,4.0,18.0,0.13973684210526316,0.1394736842105263,0.1290343006205841,0.1290343006205841,0.9113924050632911,MALE,1774
marthe,9,3.0,1.0,3.0,2.0,4.0,0.021096491228070172,0.015789473684210527,0.026362081032255374,0.026362081032255374,0.8888888888888888,FEMALE,1774
rehaar,16,4.0,2.0,5.0,2.0,6.0,0.0,0.02368421052631579,0.03419830038705309,0.03419830038705309,0.75,MALE,1774
frau_hamster,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.00944137542540121,0.00944137542540121,0.6666666666666666,FEMALE,1774
graf_wermuth,19,5.0,3.0,8.0,2.0,6.0,0.018267543859649123,0.038157894736842106,0.039270184224348526,0.039270184224348526,0.631578947368421,MALE,1774
gustchen,41,9.0,5.0,16.0,4.0,6.0,0.0901315789473684,0.18289473684210525,0.0779270422123867,0.0779270422123867,0.5853658536585366,FEMALE,1774
frau_blitzer,8,2.0,1.0,4.0,1.0,4.0,0.0,0.0,0.03381558390990939,0.03381558390990939,0.5,FEMALE,1774
bollwerk,13,3.0,1.0,1.0,2.0,3.0,0.0,0.05263157894736842,0.013631315665200473,0.013631315665200473,0.46153846153846156,MALE,1774
lise,15,4.0,2.0,6.0,2.0,3.0,0.0,0.011842105263157895,0.04031267345277503,0.04031267345277503,0.4,FEMALE,1774
der_alte_paetus,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00944137542540121,0.00944137542540121,0.2,MALE,1774
pastor,13,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.015645394254686897,0.015645394254686897,0.15384615384615385,MALE,1774
seiffenblase,6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.013577387978258332,0.013577387978258332,0.0,MALE,1774
hofmeister,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013631315665200473,0.013631315665200473,0.0,MALE,1774
jungfer_knicks,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.017466545530775163,0.017466545530775163,0.0,FEMALE,1774
schoepsen,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012111497441351426,0.012111497441351426,0.0,MALE,1774
