,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herr_von_biederling,130,14.0,6.0,30.0,8.0,46.0,0.17603174603174607,0.18095238095238098,0.13046660380107014,0.13046660380107014,2.830769230769231,MALE,1774
graf,78,13.0,7.0,16.0,6.0,24.0,0.12682539682539684,0.2142857142857143,0.08251577266858534,0.08251577266858534,1.8461538461538463,MALE,1774
prinz_tandi,114,13.0,6.0,32.0,7.0,30.0,0.1953968253968254,0.1507936507936508,0.13903219732572844,0.13903219732572844,1.8421052631578947,MALE,1774
donna_diana,53,9.0,4.0,11.0,5.0,19.0,0.12222222222222223,0.18809523809523812,0.10481695959032031,0.10481695959032031,1.792452830188679,FEMALE,1774
wilhelmine,69,12.0,6.0,14.0,6.0,17.0,0.0807936507936508,0.2841269841269842,0.06956725708399075,0.06956725708399075,1.4782608695652175,FEMALE,1774
frau_von_biederling,68,9.0,4.0,17.0,5.0,17.0,0.032539682539682535,0.1285714285714286,0.0665623436514027,0.0665623436514027,1.25,FEMALE,1774
zierau,55,11.0,5.0,23.0,6.0,9.0,0.18285714285714286,0.2142857142857143,0.10816929715073434,0.10816929715073434,0.9818181818181818,MALE,1774
lahmer,10,3.0,1.0,2.0,2.0,3.0,0.0,0.02380952380952381,0.02087036800280992,0.02087036800280992,0.6,MALE,1774
buergermeister,12,2.0,1.0,3.0,1.0,7.0,0.0,0.0,0.04363953408512367,0.04363953408512367,0.5833333333333334,MALE,1774
verwalter,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012991740206665233,0.012991740206665233,0.2,MALE,1774
magister_beza,28,3.0,2.0,8.0,1.0,4.0,0.0,0.0,0.04144920540993384,0.04144920540993384,0.14285714285714285,MALE,1774
babet,37,4.0,3.0,17.0,1.0,5.0,0.0071428571428571435,0.0,0.08572596415871972,0.08572596415871972,0.13513513513513514,FEMALE,1774
herr_von_zopf,19,3.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0261132787649696,0.0261132787649696,0.10526315789473684,MALE,1774
gustav,8,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.027058484578961248,0.027058484578961248,0.0,MALE,1774
kaffeewirt,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.017813322021499777,0.017813322021499777,0.0,MALE,1774
eine_maske,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.023207671499484713,0.023207671499484713,0.0,UNKNOWN,1774
