,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
strephon,110,13.0,5.0,8.0,28.0,0.2761904761904762,0.25238095238095243,0.22387019515121528,0.22387019515121528,2.036363636363636,MALE,1775
die_marquisin_chateauneuf,1,1.0,0.0,1.0,1.0,0.0,0.0,0.010282287651903975,0.010282287651903975,1.0,FEMALE,1775
dorantino,9,3.0,1.0,2.0,4.0,0.0,0.01984126984126984,0.023874414296614653,0.023874414296614653,0.8888888888888888,MALE,1775
arist,46,5.0,3.0,2.0,16.0,0.01904761904761905,0.03492063492063493,0.055643149831233585,0.055643149831233585,0.6956521739130435,MALE,1775
ninon,13,4.0,2.0,2.0,4.0,0.009523809523809525,0.009523809523809525,0.10004687354430203,0.10004687354430203,0.6153846153846154,MALE,1775
doria,18,6.0,3.0,3.0,3.0,0.05476190476190477,0.13650793650793652,0.06373691881591267,0.06373691881591267,0.5,MALE,1775
maler,2,2.0,1.0,1.0,1.0,0.0,0.0,0.031540590544151315,0.031540590544151315,0.5,MALE,1775
mezzotinto,27,5.0,3.0,2.0,6.0,0.004761904761904762,0.04761904761904762,0.0720735142555827,0.0720735142555827,0.4444444444444444,MALE,1775
grammont,5,2.0,1.0,1.0,2.0,0.0,0.0,0.0685482201390331,0.0685482201390331,0.4,MALE,1775
strombolo,17,3.0,1.0,2.0,3.0,0.002380952380952381,0.009523809523809525,0.02834109056007546,0.02834109056007546,0.35294117647058826,MALE,1775
don_prado,23,2.0,1.0,1.0,8.0,0.0,0.0,0.030670477618969995,0.030670477618969995,0.34782608695652173,MALE,1775
villiers,12,2.0,1.0,1.0,3.0,0.0,0.0,0.07405719632864599,0.07405719632864599,0.25,MALE,1775
seraphine,44,4.0,3.0,1.0,9.0,0.1142857142857143,0.11428571428571428,0.10587020441308342,0.10587020441308342,0.20454545454545456,FEMALE,1775
riparo,5,2.0,1.0,1.0,1.0,0.0,0.0,0.0685482201390331,0.0685482201390331,0.2,MALE,1775
alvarez,12,3.0,2.0,1.0,2.0,0.04285714285714286,0.07142857142857144,0.025818295735983144,0.025818295735983144,0.16666666666666666,MALE,1775
ein_bedienter,2,1.0,1.0,0.0,0.0,0.0,0.0,0.017078350974259315,0.017078350974259315,0.0,MALE,1775
la_fare,1,,,,,,,,,,MALE,1775
