,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_wesener,10,5.0,2.0,3.0,5.0,0.0020833333333333333,0.015000000000000001,0.029567018415130614,0.029567018415130614,1.5,FEMALE,1776
mary,40,9.0,5.0,4.0,11.0,0.07500000000000001,0.11666666666666667,0.06858492519894804,0.06858492519894804,1.1,MALE,1776
zwei_drei_aus_dem_haufen,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,1.0,MALE,1776
einer_2-2b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,1.0,MALE,1776
der_junge_graf,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,1.0,MALE,1776
einer_aus_der_gesellschaft_2-2a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,1.0,MALE,1776
madame_bischof,6,2.0,0.0,2.0,2.0,0.0,0.0,0.009899502218151654,0.009899502218151654,0.6666666666666666,FEMALE,1776
desportes,46,5.0,2.0,3.0,8.0,0.11083333333333334,0.12333333333333334,0.09383659379202228,0.09383659379202228,0.5217391304347826,MALE,1776
eisenhardt,24,5.0,2.0,3.0,4.0,0.10250000000000001,0.12333333333333334,0.030771089873284967,0.030771089873284967,0.5,MALE,1776
mariane,124,10.0,5.0,5.0,12.0,0.115,0.07166666666666667,0.2028339307094301,0.2028339307094301,0.4838709677419355,FEMALE,1776
wesener,55,5.0,2.0,3.0,8.0,0.07083333333333333,0.09000000000000001,0.05857533145347007,0.05857533145347007,0.43636363636363634,MALE,1776
haudy,43,8.0,5.0,3.0,5.0,0.11791666666666667,0.11833333333333335,0.043082393738235525,0.043082393738235525,0.3488372093023256,MALE,1776
graefin,38,4.0,1.0,3.0,4.0,0.0033333333333333335,0.0033333333333333335,0.015507258571886555,0.015507258571886555,0.3157894736842105,FEMALE,1776
aaron,7,1.0,0.0,1.0,2.0,0.0,0.0,0.009899502218151654,0.009899502218151654,0.2857142857142857,MALE,1776
charlotte,36,3.0,2.0,1.0,10.0,0.0,0.0,0.0879622650515634,0.0879622650515634,0.2777777777777778,FEMALE,1776
obrister,16,3.0,1.0,2.0,2.0,0.021666666666666667,0.021666666666666667,0.013194786948033967,0.013194786948033967,0.25,MALE,1776
mademoiselle_bischof,4,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,0.25,FEMALE,1776
jungfer_zipfersaat,7,2.0,1.0,1.0,1.0,0.030000000000000002,0.030000000000000002,0.03863520543501646,0.03863520543501646,0.14285714285714285,FEMALE,1776
mutter,10,1.0,0.0,1.0,1.0,0.0,0.0,0.009899502218151654,0.009899502218151654,0.1,FEMALE,1776
rammler,24,3.0,2.0,1.0,2.0,0.02,0.02,0.025638054777148103,0.025638054777148103,0.08333333333333333,MALE,1776
stolzius,40,6.0,5.0,1.0,1.0,0.09916666666666667,0.10166666666666667,0.08627902690253665,0.08627902690253665,0.025,MALE,1776
pirzel,13,3.0,3.0,0.0,0.0,0.0,0.0,0.039806239169685655,0.039806239169685655,0.0,MALE,1776
magd,1,1.0,1.0,0.0,0.0,0.0,0.0,0.04273824581076542,0.04273824581076542,0.0,FEMALE,1776
bedienter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.016490071677916277,0.016490071677916277,0.0,MALE,1776
junger_graf,7,1.0,1.0,0.0,0.0,0.0,0.0,0.013194786948033967,0.013194786948033967,0.0,MALE,1776
alle_offiziers,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01410675778167898,0.01410675778167898,0.0,MALE,1776
hofmeister,1,,,,,,,,,,MALE,1776
ein_anderer_aus_der_gesellschaft,1,,,,,,,,,,MALE,1776
einer_2-2a,1,,,,,,,,,,MALE,1776
einer_aus_dem_haufen,1,,,,,,,,,,MALE,1776
einer_aus_der_gesellschaft_2-2b,1,,,,,,,,,,MALE,1776
einer_2-2c,1,,,,,,,,,,MALE,1776
ein_andrer,1,,,,,,,,,,MALE,1776
alle_2-2,1,,,,,,,,,,MALE,1776
weseners_alte_mutter,1,,,,,,,,,,FEMALE,1776
jaeger,1,,,,,,,,,,MALE,1776
gilbert,2,,,,,,,,,,MALE,1776
