,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lisidor,62,13,7,6,40,0.15222222222222223,0.32222222222222224,0.07186115106840718,0.07186115106840718,3.870967741935484,MALE,1755
adrast,255,15,7,8,86,0.18888888888888888,0.10555555555555556,0.26689053661561196,0.26689053661561196,2.6980392156862747,MALE,1755
theophan,187,15,8,7,63,0.22444444444444445,0.4166666666666667,0.22390287545467813,0.22390287545467813,2.358288770053476,MALE,1755
juliane,65,9,4,5,29,0.0022222222222222222,0.16666666666666669,0.06453736001317234,0.06453736001317234,2.230769230769231,FEMALE,1755
johann,94,9,4,5,34,0.19111111111111112,0.23333333333333334,0.09624607938307828,0.09624607938307828,1.8085106382978724,MALE,1755
henriette,78,10,5,5,27,0.013333333333333334,0.12222222222222223,0.07778799247097606,0.07778799247097606,1.7307692307692308,FEMALE,1755
lisette,62,8,5,3,15,0.005555555555555556,0.0,0.07425465496852321,0.07425465496852321,0.7258064516129032,FEMALE,1755
martin,37,2,1,1,21,0.0,0.0,0.04250978429804108,0.04250978429804108,0.5675675675675675,MALE,1755
frau_philane,3,1,0,1,1,0.0,0.0,0.01363636363636364,0.01363636363636364,0.3333333333333333,FEMALE,1755
der_wechsler,32,4,2,2,5,0.0,0.06666666666666667,0.05209893604456842,0.05209893604456842,0.3125,MALE,1755
araspe,17,2,1,1,3,0.0,0.05555555555555556,0.01627426604657942,0.01627426604657942,0.17647058823529413,MALE,1755
