,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lelio,49,11,5,15,6,18,0.08685185185185185,0.12796296296296295,0.11255498562276096,0.11255498562276096,2.2040816326530615,MALE,1749
jungfer_ohldin,98,15,7,31,8,24,0.3905555555555555,0.38092592592592595,0.17364065968002892,0.17364065968002892,1.9591836734693877,FEMALE,1749
peter,71,11,5,16,6,23,0.15,0.1277777777777778,0.17352293689338683,0.17352293689338683,1.943661971830986,MALE,1749
herr_kraeusel,42,9,4,8,5,16,0.1548148148148148,0.31685185185185183,0.07375904340987818,0.07375904340987818,1.9047619047619047,MALE,1749
clitander,37,6,3,8,3,13,0.007407407407407408,0.044444444444444446,0.0599939484146074,0.0599939484146074,1.0540540540540542,MALE,1749
der_schneider,4,3,1,2,2,2,0.0,0.0,0.02147323286860718,0.02147323286860718,1.0,MALE,1749
von_schlag,16,6,3,3,3,5,0.016111111111111107,0.17333333333333334,0.029282628231411596,0.029282628231411596,0.9375,MALE,1749
herr_oronte,28,4,2,4,2,13,0.1,0.1,0.0654651765559447,0.0654651765559447,0.9285714285714286,MALE,1749
lisette,86,11,6,27,5,11,0.0887037037037037,0.1438888888888889,0.1722326447049673,0.1722326447049673,0.6395348837209303,FEMALE,1749
herr_rehfuss,16,4,3,8,1,2,0.0,0.01888888888888889,0.07157135742934047,0.07157135742934047,0.125,MALE,1749
frau_oronte,22,4,3,7,1,2,0.005555555555555556,0.017962962962962962,0.046503386189066444,0.046503386189066444,0.09090909090909091,FEMALE,1749
