,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
von_tellheim,264,14.0,6.0,88.0,8.0,99.0,0.337037037037037,0.33333333333333337,0.21451628597887448,0.21451628597887448,3.0,MALE,1767
das_fraeulein,251,14.0,6.0,73.0,8.0,90.0,0.2574074074074074,0.26666666666666666,0.15119904821119137,0.15119904821119137,2.8685258964143427,FEMALE,1767
franziska,197,12.0,6.0,82.0,6.0,77.0,0.08888888888888889,0.11111111111111112,0.1751685258254612,0.1751685258254612,2.3451776649746194,FEMALE,1767
just,126,13.0,6.0,67.0,7.0,37.0,0.057407407407407414,0.17777777777777778,0.1418732702926357,0.1418732702926357,2.055555555555556,MALE,1767
der_wirt,108,9.0,5.0,33.0,4.0,38.0,0.020370370370370372,0.16666666666666669,0.08266798902175701,0.08266798902175701,1.4074074074074074,MALE,1767
paul_werner,120,8.0,5.0,50.0,3.0,50.0,0.005555555555555556,0.0,0.12209050209042722,0.12209050209042722,1.25,MALE,1767
riccaut,33,4.0,2.0,5.0,2.0,16.0,0.0,0.05555555555555556,0.022851974240595697,0.022851974240595697,0.9696969696969697,MALE,1767
der_graf,8,3.0,1.0,3.0,2.0,3.0,0.0,0.011111111111111112,0.019490316671268354,0.019490316671268354,0.75,MALE,1767
der_bediente,8,3.0,2.0,4.0,1.0,2.0,0.0,0.11111111111111112,0.025408541868304123,0.025408541868304123,0.25,MALE,1767
die_dame,12,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.024415526095450862,0.024415526095450862,0.08333333333333333,FEMALE,1767
der_feldjaeger,4,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.020318019704034223,0.020318019704034223,0.0,MALE,1767
