,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mellefont,201,14,6,58,8,63,0.3148148148148148,0.5833333333333334,0.2527947954070889,0.2527947954070889,2.5074626865671643,MALE,1755
marwood,155,12,5,45,7,45,0.3074074074074074,0.2777777777777778,0.19971721655599858,0.19971721655599858,2.032258064516129,FEMALE,1755
sara,166,11,5,43,6,56,0.2759259259259259,0.08888888888888889,0.2166957192101103,0.2166957192101103,2.0240963855421685,FEMALE,1755
betty,20,5,3,9,2,6,0.0,0.22222222222222224,0.04542302018688181,0.04542302018688181,0.6,FEMALE,1755
der_wirt,7,3,1,1,2,2,0.012962962962962963,0.24444444444444446,0.021713150124091408,0.021713150124091408,0.5714285714285714,MALE,1755
sir_william,22,6,3,3,3,4,0.1,0.4222222222222222,0.031147670630389007,0.031147670630389007,0.5454545454545454,MALE,1755
arabella,13,3,2,3,1,6,0.0,0.0,0.025688078529810594,0.025688078529810594,0.46153846153846156,FEMALE,1755
waitwell,41,5,3,15,2,7,0.011111111111111112,0.016666666666666666,0.07703001160359804,0.07703001160359804,0.34146341463414637,MALE,1755
norton,46,3,2,15,1,10,0.0,0.0,0.066011600824429,0.066011600824429,0.21739130434782608,MALE,1755
hannah,16,3,2,8,1,2,0.0,0.15555555555555556,0.04491204983657102,0.04491204983657102,0.125,FEMALE,1755
der_bediente,2,1,1,1,0,0,0.0,0.0,0.01886668709103126,0.01886668709103126,0.0,MALE,1755
