,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graf,190,17.0,8.0,9.0,56.0,0.28365384615384615,0.40170940170940167,0.11424466031003805,0.11424466031003805,2.6526315789473682,MALE,1842
graefin,92,10.0,4.0,6.0,37.0,0.0,0.0,0.03249740791299973,0.03249740791299973,2.4130434782608696,FEMALE,1842
baron,208,12.0,6.0,6.0,61.0,0.020833333333333332,0.049145299145299144,0.1555779558697441,0.1555779558697441,1.7596153846153846,MALE,1842
baculus,268,16.0,8.0,8.0,58.0,0.16079059829059827,0.1143162393162393,0.24588338689636985,0.24588338689636985,1.7313432835820894,MALE,1842
gretchen,130,13.0,7.0,6.0,29.0,0.027777777777777776,0.06944444444444443,0.13092400355691172,0.13092400355691172,1.3384615384615386,FEMALE,1842
nanette,34,5.0,2.0,3.0,15.0,0.0,0.019230769230769232,0.037656005299845495,0.037656005299845495,1.3235294117647058,FEMALE,1842
landleute,30,7.0,2.0,5.0,6.0,0.0,0.1655982905982906,0.026384412893633476,0.026384412893633476,1.0,,1842
jaeger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01383979098693376,0.01383979098693376,1.0,,1842
baronin,138,13.0,8.0,5.0,23.0,0.058226495726495714,0.17414529914529914,0.1252666787848244,0.1252666787848244,0.8333333333333333,FEMALE,1842
pancratius,39,7.0,4.0,3.0,9.0,0.0641025641025641,0.09615384615384615,0.048938848784753915,0.048938848784753915,0.6923076923076923,MALE,1842
maedchen,14,2.0,1.0,1.0,1.0,0.0,0.0,0.017307941754865903,0.017307941754865903,0.07142857142857142,,1842
dienerchor,2,1.0,1.0,0.0,0.0,0.0,0.0,0.018461734083667965,0.018461734083667965,0.0,,1842
erstes_maedchen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01557386637089983,0.01557386637089983,0.0,FEMALE,1842
schuljugend,3,1.0,1.0,0.0,0.0,0.0,0.0,0.017443306494511642,0.017443306494511642,0.0,,1842
ein_hochzeitsgast,1,,,,,,,,,,MALE,1842
zweites_maedchen,1,,,,,,,,,,FEMALE,1842
